분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
신,코데즈컴바인,3110 3585 3040 3585,"3,585",↑,"825","29.89","5,458,138","18,507",대북 개성공단 입주기업,'047770
,코스모로보틱스,19880 25100 19880 25100,"25,100",↑,"5,770","29.85","5,151,739","120,253",,'439960
증,세미티에스,5340 6530 5050 6530,"6,530",↑,"1,500","29.82","9,386,770","54,698",,'0017J0
신,엔비알모션,9980 12440 9980 11600,"11,600",▲,"2,030","21.21","1,892,259","22,581","0. 사업 내용 베어링의 핵심 부품인 강구(Steel Ball), 테이퍼 롤러(Tapered Roller) 등을 제조하는 초정밀 부품 전문 기업입니다. 기존 자동차용 베어링 부품에서 로봇용 정밀 감속기 및 모션 제어 핵심 부품으로 사업 영역을 확장하고 있습니다.  1. 핵심 재료 요약""신규 상장 효과와 함께 로봇용 초정밀 베어링 국산화 성공으로 주목받는 로봇·모빌리티 유망주""  2. 주요 상세 재료 테슬라 로보택시 공급: 최근 기사에 따르면, 테슬라의 무인택시(로보택시) 프로젝트에 감속기 내 정밀 롤러 및 하이브리드 전구동체 공급이 확인되었다는 소식이 주가 상승의 주된 트리거입니다.  로봇(옵티머스) 확장성: 자율주행 전기차뿐만 아니라 테슬라의 휴머노이드 로봇 '옵티머스' 등 로봇 산업 전반으로 부품 공급이 확대될 것이라는 기대감이 작용하고 있습니다.  신규 상장 효과: 2026년 1월 15일 상장한 새내기주로서, 유통 물량 소화 과정에서 강력한 재료(테슬라)가 붙어 변동성이 매우 큰 상태입니다.",'0004V0
신,한온시스템,4930 5890 4860 5680,"5,680",▲,"980","20.85","80,723,311","456,216","한온시스템 (Hanon Systems) 한온시스템은 자동차용 열에너지 관리 솔루션 전문 기업으로, 전동화 차량의 열 관리 시스템을 선도하고 있습니다.  회사는 자동차의 난방, 환기 및 공조(HVAC) 시스템, 파워트레인 쿨링, 컴프레서, 플루이드 트랜스포트 등 차량 열에너지 관리 솔루션 전반을 생산하며, 특히 전기차, 하이브리드차, 수소전기차 등 미래차 분야에서 두각을 나타내고 있습니다.",'018880
증,제주항공,4690 5640 4615 5150,"5,150",▲,"810","18.66","7,230,160","39,122",,'089590
주,후성,18450 23700 18310 22150,"22,150",▲,"3,140","16.52","44,044,378","931,170","전해질염 LiPF6를 국내 유일하게 생산하고 있는 기업이다. LiPF6은 제조와 취급의 위험성, 제조 공정의 까다로운 반응 조건, 금속 성분 및 수의 관리에 있어 고도화된 정제 기술 노하우가 필요하다. 현재 후성은 국내 울산공장과 중국 공장에서 생산을 하고 있다.  (24.09.12)[클릭 e종목]""후성, 2026년 실적 개선 전망"" 후성은 2차전지 전해액염 중에서 LiPF6(육불화인산리튬)를 국내에서 유일하게 생산하고 있으며, LiBF4 등 전해질 첨가제도 제조 및 판매하고 있다. 주요 제품은 국내 울산공장과 중국공장에서 생산하고 있다. (23.07.03)후성, ‘반도체→이차전지’ 다각화 속도…높아진 투자 부담[소부장 슈퍼을] 후성은 불화수소(HF) 기술을 바탕으로 국내 반도체용 특수가스 시장을 원익머트리얼즈, SK스페셜티 등 일부 기업과 과점하고 있다. 반도체용 특수가스 시장이 공정 미세화 흐름에 더해 주요 고객사인 삼성전자, SK하이닉스의 투자 확대 흐름을 타고 성장하는 가운데 후성은 고도의 신뢰도와 품질수준을 갖춘 제품을 앞세워 공급망 내 높은 점유율을 지켜왔다.후성의 대표 제품은 육불화부타디안(C4F6)과 육불화텅스텐(WF6)이다. C4F6를 비롯한 불화탄소(CF)계 가스는 주로 반도체 식각(에칭)공정에 사용되는데, 다른 가스와 비교해 수익성은 낮지만, 전체 공정 가스 중 90%를 차지할 정도로 사용빈도가 높다.  (25.09.15)[특징주] 후성, “냉매·특수가스 수요 급증”에 리튬염 독점 생산 부각되며 매출 확대 전망 후성은 이차전지 전해액의 핵심 소재인 리튬염(LiPF6)을 생산하는 국내 유일 업체로 가전용·산업용에 쓰이는 냉매, 반도체 에칭 및 증착에 쓰이는 특수 가스 등을 주력으로 영위하고 있다.",'093370
증,마키나락스,19350 24300 19350 22100,"22,100",▲,"3,200","16.93","3,112,387","68,632",,'477850
신,HPSP,71900 92000 67500 83500,"83,500",▲,"12,000","16.78","33,421,660","2,730,427",'반도체장비(고압 수소 어닐링 장비) /  HPSP·가온칩스 등 온디바이스 AI 관련주 강세...출하량 10배증가,'403870
,네패스아크,51500 63500 48550 57700,"57,700",▲,"7,200","14.26","1,681,019","97,118","네패스아크는 시스템반도체 후공정(OSAT) 테스트 기업으로 주로 전력관리반도체(PMIC), 디스플레이 구동칩(DDI), 시스템온칩(SoC), 무선주파수(RF) 제품 등의 웨이퍼 테스트 제품을 생산하고 있다.  네패스의 반도체 테스트(test) 사업 부문을 물적분할해 지난해 설립됐다. 애플리케이션 프로세서(AP), 무선 통신용 칩(RFIC) 등의 테스트를 담당하는 반도체 후공정 업체다.",'330860
