분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
주,화신정공,3595 4430 3410 4430,"4,430",↑,"1,020","29.91","23,769,605","94,870",,'126640
신,티엠씨,19000 22600 18500 22600,"22,600",↑,"5,180","29.74","3,859,483","80,646","'참고: 현재 시점(2025년 12월 27일) 기준, 티엠씨는 조선업 슈퍼사이클과 트럼프 행정부의 에너지 정책(LNG/원전) 수혜가 맞물리며 상장 초기 강력한 상승세를 보이고 있습니다.  티엠씨 (217590) 1. 핵심 요약 조선업 호황과 함께 성장하는 선박·해양플랜트 및 원전용 특수 케이블 전문 제조사  2. 사업 내용 1991년 설립된(구 서진공업) 기업으로, 선박용 케이블, 해양플랜트용 케이블, 광통신 케이블을 주력으로 생산합니다. 삼성중공업, 한화오션 등 국내 주요 조선 3사를 고객사로 두고 있으며, 최근에는 원자력 발전소용 케이블 기술력을 인정받아 신한울 3·4호기 공급 등 원전 분야로도 사업을 확장하고 있습니다.  3. 추가 중요 정보 (재료 및 테마) #트럼프 & 조선업 슈퍼사이클 (핵심 재료): 미국 트럼프 당선인의 **'화석연료(LNG) 중심 에너지 정책'**과 '한국 조선업 협력 요청' 발언으로 인해 국내 조선업계가 수혜를 입으면서, 필수 기자재인 선박용 케이블 수요 폭증 기대감이 주가를 견인하고 있습니다.  #신규 상장 (품절주/수급): 2025년 12월 15일 코스피 시장에 상장한 올해 마지막 대어급 공모주로, 상장 초기 유통 물량이 제한적인 상태에서 매수세가 몰리며 급등락을 연출하고 있습니다.  #원전 (K-원전): 정부의 원전 생태계 복원 정책과 체코 원전 수출 등 글로벌 원전 시장 확대에 따라 원전용 케이블(Class 1E) 공급 확대 기대감이 반영되고 있습니다.  '선박·원전 산업용 특수 케이블' 티엠씨, 코스피 데뷔[오늘 상장] (25.11.25)산업용 특수케이블 강자 티엠씨, 코스피 상장…""북미 시장 본격 공략"" (25.12.15)티엠씨, 상장 첫날 '따블'…선박·AI·원전까지 독보적 케이블 기술력으로 '북미 본격 진출'",'217590
신,후성,13870 16680 13120 15980,"15,980",▲,"2,460","18.20","82,850,646","1,296,387","전해질염 LiPF6를 국내 유일하게 생산하고 있는 기업이다. LiPF6은 제조와 취급의 위험성, 제조 공정의 까다로운 반응 조건, 금속 성분 및 수의 관리에 있어 고도화된 정제 기술 노하우가 필요하다. 현재 후성은 국내 울산공장과 중국 공장에서 생산을 하고 있다.  (24.09.12)[클릭 e종목]""후성, 2026년 실적 개선 전망"" 후성은 2차전지 전해액염 중에서 LiPF6(육불화인산리튬)를 국내에서 유일하게 생산하고 있으며, LiBF4 등 전해질 첨가제도 제조 및 판매하고 있다. 주요 제품은 국내 울산공장과 중국공장에서 생산하고 있다. (23.07.03)후성, ‘반도체→이차전지’ 다각화 속도…높아진 투자 부담[소부장 슈퍼을] 후성은 불화수소(HF) 기술을 바탕으로 국내 반도체용 특수가스 시장을 원익머트리얼즈, SK스페셜티 등 일부 기업과 과점하고 있다. 반도체용 특수가스 시장이 공정 미세화 흐름에 더해 주요 고객사인 삼성전자, SK하이닉스의 투자 확대 흐름을 타고 성장하는 가운데 후성은 고도의 신뢰도와 품질수준을 갖춘 제품을 앞세워 공급망 내 높은 점유율을 지켜왔다.후성의 대표 제품은 육불화부타디안(C4F6)과 육불화텅스텐(WF6)이다. C4F6를 비롯한 불화탄소(CF)계 가스는 주로 반도체 식각(에칭)공정에 사용되는데, 다른 가스와 비교해 수익성은 낮지만, 전체 공정 가스 중 90%를 차지할 정도로 사용빈도가 높다.  (25.09.15)[특징주] 후성, “냉매·특수가스 수요 급증”에 리튬염 독점 생산 부각되며 매출 확대 전망 후성은 이차전지 전해액의 핵심 소재인 리튬염(LiPF6)을 생산하는 국내 유일 업체로 가전용·산업용에 쓰이는 냉매, 반도체 에칭 및 증착에 쓰이는 특수 가스 등을 주력으로 영위하고 있다.",'093370
신,제주은행,10940 14170 10790 12750,"12,750",▲,"1,620","14.56","15,328,286","198,343",'더존비즈온이 2대주주로 참여함. 디지털부문 사업 추진2025/04/19 18:05,'006220
증,모헨즈,3615 4685 3485 4175,"4,175",▲,"530","14.54","5,031,530","21,287",세종 수도 이전-새만금 개발 확대 조기 대선 정책 기대감,'006920
증,오브젠,12330 15780 12310 13970,"13,970",▲,"1,620","13.12","2,174,390","31,327",'한국판 팔란티어 /데이터 사이언스 솔루션 라인업을 확보했다. 데이터 사이언스 솔루션을 영위한다는 점에서 팔란티어와 사업구조가 유사하다"며 "또한 현재 금융권은 AI 도입 니즈가 증가하고 있고 데이터 기반의 실시간 마케팅 자동화 및 고객경험관리 전반을 지원하는 기업용 소프트웨어에 AI 솔루션을 적용한 동사 CDXP+ 수요가 급증하며 차세대 사업 발주가 크게 증가했다,'417860
신,피에스케이홀딩스,123000 149500 120100 137100,"137,100",▲,"12,100","9.68","1,135,819","160,853","sk 하이닉스 상승할때, 같이 상승한다.   HBM 시장 성장의 핵심 수혜주, 후공정 장비 수요 증가  피에스케이홀딩스는 인공지능(AI) 시장 개화에 따른 고대역폭메모리(HBM) 수요 급증의 직접적인 수혜를 받는 반도체 후공정 장비 기업입니다. HBM 생산에 필수적인 장비를 공급하며 실적 성장 기대감이 높습니다.  주요 재료 및 상세 내용  HBM 및 첨단 패키징 시장 확대: AI 반도체에 필수적인 HBM은 여러 개의 D램을 수직으로 쌓아 만듭니다. 이 과정에서 피에스케이홀딩스의 리플로우(Reflow) 장비와 디스컴(Descum) 장비 등 후공정 패키징 장비의 중요성이 크게 부각되고 있습니다. HBM의 단수가 높아지고(고단화), CoWoS와 같은 첨단 패키징 기술 투자가 확대될수록 동사의 장비 수요는 구조적으로 증가할 가능성이 높습니다.  견고한 실적 및 재무 안정성: 증권가에서는 피에스케이홀딩스가 2024년 4분기부터 본격적인 실적 개선을 이룰 것으로 전망하고 있습니다. HBM 테마 내에서도 재무적 성장성과 안정성, 수익성이 모두 높은 편으로 평가받고 있어 투자 매력도가 높은 것으로 분석됩니다.  고객사 다변화 및 투자 확대: 주요 종합반도체기업(IDM)과 후공정 외주업체(OSAT) 모두를 고객사로 확보하고 있으며, 이들 기업의 HBM 관련 설비 투자가 본격화됨에 따라 지속적인 수혜가 예상됩니다.  최근 [특징주] 기사  2025년 9월 18일: HBM(고대역폭메모리) 테마 상승세에 부각되며 7.9% 상승 마감.  기사 제목: [특징주, 피에스케이홀딩스-HBM(고대역폭메모리) 테마 상승세에 7.9% ↑ - 매일경제]",'031980
증,비보존 제약,3320 4230 3285 3680,"3,680",▲,"335","10.01","5,071,258","19,351",'트럼프 관련/ 비마약성 진통제 / 펜타닐 대체제,'082800
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
