분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
신,LG헬로비전,2300 2860 2260 2860,"2,860",↑,"660","30.00","13,751,654","37,222",SKT 가입자 불편 확산” 대안 통신사,'037560
신,LG전자우,104500 124400 103000 124400,"124,400",↑,"28,700","29.99","3,002,056","356,887",,'066575
신,로보티즈,336500 420000 331500 410000,"410,000",▲,"84,500","25.96","3,331,254","1,310,938","'[아이포럼 2025] 김병수 로보티즈 대표 ""피지컬 AI, 세상 바꿀 기술"" 로보티즈 '로봇 손', 글로벌 빅테크 선주문 받아 김 대표는 독자 개발한 정밀 로봇 손 'HX5-D20'을 소개하며 ""오는 12월 말쯤 공식 출시할 계획""이라며 ""휴머노이드 학회에서 발표했는데, 많은 회사들 특히 오픈AI, 구글, 애플 등에서 선주문을 이미 넣었다. 그들은 그만큼 핸드가 절실한 상황""이라고 설명했다.  (25.05.14)로보티즈, 중국 최대 휴머노이드 로봇기업과 맞손 ""본격 성장의 원년"" 최재호 하나증권 연구원은 ""로보티즈는 올해부터 고성장이 예상되는 중국 휴머노이드 로봇 시장에 진출한다""며 ""중국 최대 휴머노이드 로봇 기업 유니트리의 로봇 관절 일부에 동사의 액추에이터가 사용되는 것으로 파악된다""고 말했다.이어 ""유니트리는 올해부터 본격 양산 시작을 통해 연간 약 1000대 이상의 휴머노이드 로봇 생산을 계획하고 있다""며 ""본격 양산 진행에 따른 수혜가 예상된다""고 진단했다.   (25.09.19)[특징주] 로보티즈, 로봇 손 첫 공개에 급등…오픈AI 등 글로벌 고객사 주목 김병수 로보티즈 대표는 19일 국회도서관에서 열린 ‘AI 인사이트 포럼 피지컬 AI’에서 “며칠 전 완성된 로봇 손을 오픈AI 등 일부 고객사에 공개했다”고 밝혔다. 그는 “로봇의 부가가치는 단순히 걷고 균형을 잡는 것이 아니라, 물건을 쥐고 다루는 ‘매니퓰레이션’에서 비롯된다”는 점을 강조했다. 로보티즈는 인공지능(AI)을 탑재한 양팔 휴머노이드 로봇 ‘AI 워커’를 이미 개발해 연구개발용으로 납품한 경험이 있다. 이번 로봇 손 공개가 AI 워커와 결합할 경우 산업적 활용도가 한층 확대될 수 있다는 전망이 나온다. 김 대표는 “사람이 손으로 하는 일을 로봇이 대체할 때 산업적 파급력이 커질 수 있다”고 말했다.  20일선으로 내려오면 보자// 오픈ai로봇 공급 가능성 // LG전자2대주주/배달로봇",'108490
신,삼성에스디에스,312000 388500 286000 369500,"369,500",▲,"70,500","23.58","6,650,563","2,364,069","'범정부 초거대AI 공통기반 구현’ 사업 계약체결 이번 ’범정부 초거대AI 공통기반 구현’ 사업은 삼성SDS, 엘지CNS, KT가 입찰에 참여해 5월 15일 공통분야와 ’AI 분야‘에 대한 전문평가로 각각 제안서 평가를 진행하고 그 결과를 합산하여 삼성SDS 컨소시엄을 우선협상대상자를 선정하고, 최종 계약을 체결했다.2025/06/23 22:21",'018260
증,미래에셋 레버리지 삼성전자 단일종목 ETN,23125 27905 23065 27245,"27,245",▲,"4,555","20.07","621,619","16,094",,'520100
신,포스코DX,33300 40650 32200 40100,"40,100",▲,"7,650","23.57","20,021,737","762,279","'포스코DX(POSCO DX)는 포스코 그룹의 IT 및 엔지니어링(자동화) 솔루션 전문 기업입니다.  과거 '포스코ICT'에서 2023년 현재의 사명으로 변경하며, '디지털 전환(Digital Transformation, DX)'을 주도하겠다는 정체성을 명확히 했어요.  핵심 사업은 공장과 같은 산업 현장의 운영기술(OT)에 IT와 인공지능(AI)을 융합하는 것입니다. 주요 사업 분야, 최근 실적, 그리고 미래 전망으로 나누어 자세히 설명해 드릴게요.  ?? 핵심 사업 분야 포스코DX의 사업은 크게 3개의 축으로 나뉩니다.  스마트팩토리 (EIC 엔지니어링)  철강, 이차전지 소재 등 다양한 산업 현장의 공장 자동화 및 지능화를 담당해요.  전기(Electricity), 계측(Instrumentation), 제어(Control) 설비를 구축하고 여기에 AI, 빅데이터, 디지털 트윈 기술을 적용해 '스마트팩토리'를 구현합니다.  출처: 포스코DX의 EIC사업부 매출 비중은 2023년 기준 54%에 달하며, 포스코 그룹이 2030년까지 생산라인 자동화에 최대 20조 원을 투자할 계획이어서 지속적인 수혜가 예상됩니다. [시사저널e, 2024-04-15]  ([https://www.sisajournal-e.com/news/articleView.html?idxno=402045](https://www.sisajournal-e.com/news/articleView.html?idxno=402045)) 산업용 로봇 자동화  고위험, 고강도 작업을 사람 대신 로봇이 수행하도록 시스템을 설계하고 구축(SI)합니다.  포스코DX가 로봇을 직접 제조하는 것이 아니라, 다양한 로봇 제조사들의 제품을 현장에 최적화하여 적용하는 **'로봇 엔지니어링'**에 강점이 있어요.  출처: 포스코DX는 '로봇자동화센터'를 신설해 산업용 로봇 기반의 '인텔리전트 팩토리' 구현에 나서고 있습니다. [포스코DX 공식 홈페이지, 2024-07-19]  ([https://www.poscodx.com/kor/pr/newsRoomView.do?col=&sw=&page=&num=7048](https://www.poscodx.com/kor/pr/newsRoomView.do?col=&sw=&page=&num=7048)) 스마트 물류 (Smart Logistics)  인천국제공항 수하물처리시스템(BHS)이나 한진택배 메가허브 물류센터처럼, 대규모 물류 자동화 시스템을 구축한 경험을 보유하고 있습니다.  출처: 포스코DX는 한진택배 메가허브 물류센터, GS리테일 군포 신물류센터 등에 자동화 시스템을 구축한 경험이 있습니다. [포스코DX 공식 홈페이지, 2024-07-19]  ([https://www.poscodx.com/kor/pr/newsRoomView.do?col=&sw=&page=&num=7048](https://www.poscodx.com/kor/pr/newsRoomView.do?col=&sw=&page=&num=7048)) ?? 최근 실적 및 재무 현황 2023년까지 이어진 폭발적인 성장세(2023년 영업이익 전년비 +70.97%)와 달리, 2025년 들어서는 다소 숨 고르기에 들어간 모습입니다.  최근 실적 (2025년 3분기):  매출: 2,447억 원 (전년 동기 대비 23.2% 감소)  영업이익: 217억 원 (전년 동기 대비 17.6% 감소)  출처: 2025년 3분기 실적 공시 자료입니다. [경북도민일보(Daum), 2025-10-27]  ([https://v.daum.net/v/20251027185640519](https://v.daum.net/v/20251027185640519)) 실적 부진 원인:  상반기 실적 분석에 따르면, 주요 전방산업(철강 등)의 둔화와 그룹사 투자 지연이 신규 수주 감소에 영향을 미쳤습니다.  또한, 다른 IT 서비스 기업들과 달리 그룹사 내부 매출 의존도가 높아(대외 매출 비중 4% 불과), 그룹의 업황에 실적이 크게 연동되는 한계를 보였습니다.  출처: 포스코DX의 2025년 상반기 실적 하락을 분석하며, 그룹사 투자 지연과 높은 내부 매출 의존도를 원인으로 지적했습니다. [시사저널e, 2025-07-31]  ([https://www.sisajournal-e.com/news/articleView.html?idxno=413927](https://www.sisajournal-e.com/news/articleView.html?idxno=413927)) 주요 재무 정보: (2025년 11월 4일 기준)  현재 주가: 약 26,300원  시가총액: 약 3조 9,985억 원  52주 최고/최저: 29,400원 / 17,850원  PER (2024년 결산 기준): 약 32.95배  출처: 포스코DX의 주요 시세 및 재무 정보를 확인할 수 있습니다. [FnGuide 기업정보]  ([https://comp.fnguide.com/SVO2/ASP/SVD_Main.asp?gicode=A022100](https://comp.fnguide.com/SVO2/ASP/SVD_Main.asp?gicode=A022100)) ?? 미래 성장 동력 및 전망 단기 실적은 주춤하지만, 중장기 성장 동력은 여전히 포스코 그룹의 대규모 투자에 맞춰져 있습니다.  1. 이차전지 소재 공장 자동화: 포스코DX의 가장 강력한 미래 먹거리에요. 포스코 그룹이 집중 투자하는 포항, 광양 등의 이차전지 소재(양극재, 음극재 등) 공장의 스마트팩토리 구축을 사실상 전담하고 있습니다. 이를 위해 2024년 '이차전지소재사업실'을 신설하기도 했어요.  출처: 포스코DX는 연말 조직개편을 통해 '이차전지소재사업실'을 신설하고 그룹의 신소재 사업 지원 효율성을 높이고 있습니다. [한국경제TV, 2024-01-02]  ([https://m.wowtv.co.kr/NewsCenter/News/Read?articleId=A202401",'022100
,성호전자,33400 40500 31400 39450,"39,450",▲,"6,050","18.11","6,210,889","222,828","(23.05.04)[특징주] 성호전자, 삼성전자 독점 공급 캐패시터 필름 기대감에 강세 성호전자 사업보고서에 따르면 이 회사는 2005년부터 D-TV용 필름 캐패시터를 삼성전자에 독점 공급하는 등 국내시장 점유율 70% 이상을 꾸준히 유지하고 있다.2008년부터는 높아진 품질경쟁력과 가격경쟁력을 바탕으로 대만, 일본 등 해외 디스플레이용 필름 캐패시터 시장을 적극 공략해 도시바, 산요, 파나소닉, 애플, 필립스 등에 제품을 공급하기 시작했다. 국내 자동차 부품업체와 공동 개발한 필름콘덴서를 포르쉐와 아우디 전기차에 공급하기로 한 바 있다.  필름 케퍼시티. 국내 점유율 70 %  성호전자는 삼성전자에 캐패시터 필름 독점 공급을 비롯해 애플과 포르쉐, 아우디 등 전기차에도 공급 중인 것으로 알려져 있다.",'043260
,세아메카닉스,5160 6260 5040 6070,"6,070",▲,"890","17.18","5,142,527","30,619","(25.07.23)[특징주] 세아메카닉스, 대규모 ESS수주에 이어 美·日 관세 해소에 해외 수익성 탄력↑ 세아메카닉스는 LG에너지솔루션(LG엔솔)의 유럽향 ESS 프로젝트 신규 수주를 최근 확정하고 개발에 착수한 상태다. 해당 모델은 2026년부터 3년간 공급되며, 폴란드에서 생산될 예정이다. 향후 차세대 대형 프로젝트로의 확장 가능성도 주목받고 있다.앞서 세아메카닉스는 LG엔솔의 북미향 전력망 ESS에 다이캐스팅 부품을 공급 중이다.",'396300
신,롯데에너지머티리얼즈,56200 71000 55100 64900,"64,900",▲,"8,800","15.69","1,991,532","128,190","2차전지 핵심 소재 '동박' 글로벌 선도 기업 롯데에너지머티리얼즈는 2차전지 음극재의 핵심 소재인 '동박(Copper Foil)'을 생산하는 기업으로, 세계 최고 수준의 기술력을 바탕으로 글로벌 시장을 선도하고 있습니다.  주요 재료 상세 분석:  하이엔드 동박: 두께가 얇고, 넓고, 길면서도 강도가 높은 고품질 '하이엔드 동박' 생산 기술에서 독보적인 경쟁력을 보유하고 있습니다. 이는 배터리의 고용량화, 경량화에 필수적입니다.  글로벌 생산 거점 확대: 국내 공장을 비롯해 말레이시아, 스페인 등 해외 생산 거점을 적극적으로 확대하며 글로벌 고객사 수요에 대응하고 있습니다.  롯데그룹 편입 시너지: 롯데그룹의 글로벌 네트워크와 자금력을 바탕으로 안정적인 성장 기반을 확보했으며, 그룹 내 화학 계열사와의 시너지가 기대됩니다.",'020150
신,LS ELECTRIC,243000 281500 231500 274500,"274,500",▲,"33,000","13.66","4,879,002","1,298,866","'(25.09.03)초고압 변압기 수주잔액만 1.9조…LS일렉, 내달 생산능력 3배 는다 LS일렉트릭은 늘어나는 수주에 대응하기 위해 1000억원을 투자해 부산사업장에 '2생산동'을 건설 중이다. 2생산동은 다음달 완공 예정으로 시운전을 거쳐 생산에 나설 계획이다. 2생산동이 본격 가동되면 LS일렉트릭의 초고압 변압기 생산 능력은 연간 2000억원에서 6000억원으로 3배 증가한다.지난 4월 미국 텍사스주에 준공된 'LS일렉트릭 배스트럽 캠퍼스'에서는 중·저압 전력기기와 배전시스템 등을 생산한다. 특히 국내 기업의 미국 투자 확대는 LS일렉트릭에 기회다. LS일렉트릭은 삼성전자 테일러 공장, 현대차-LG에너지솔루션 합작 배터리공장 등 국내 기업의 미국 공장 배전반 설비의 90% 이상을 공급 중이다.  LS일렉트릭, 3분기 영업익 1008억…전년비 51.7%↑ LS일렉트릭은 북미 현지 영업 강화를 통해 초고압변압기 신규 및 추가 수주, 에너지저장장치(ESS) 프로젝트 수주 증가, 빅테크 데이터센터를 비롯해 첨단 제조업 전력 인프라 시장에도 진입하며 고객 저변을 확장했다.3분기 현재 수주잔고는 총 4조1000억원으로 전분기 대비 2000억원 증가했으며 지속 늘어나고 있다. 초고압 변압기는 미국 신규 수주 및 고객 확대로 1조 9000억원의 사상 최대 수주잔고를 경신하고 있다.초고압 변압기 생산공장인 부산 사업장의 제2 생산동 증축이 연내 마무리되면 내년부터 생산능력(CAPA) 증설에 따른 수주 확대, 매출 및 영업이익 신장으로 이어질 전망이다.  LS일렉트릭은 늘어나는 수주에 대응하기 위해 1000억원을 투자해 부산사업장에 '2생산동'을 건설 중이다. 2생산동은 다음달 완공 예정으로 시운전을 거쳐 생산에 나설 계획이다. 2생산동이 본격 가동되면 LS일렉트릭의 초고압 변압기 생산 능력은 연간 2000억원에서 6000억원으로 3배 증가한다.2025/09/03 18:29  XAI의 데이터센터 배전반 부품 공급 이력",'010120
