분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
주,남화산업,5740 6370 5290 6370,"6,370",↑,"1,470","30.00","4,093,341","24,348",,'111710
신,다스코,3750 4465 3750 4465,"4,465",↑,"1,030","29.99","14,414,434","59,554",주택 모듈러 사업,'058730
신,에코프로,97000 124000 95400 124000,"124,000",↑,"28,600","29.98","6,197,809","705,065","양극재, 전구체",'086520
신,신성델타테크,28450 36500 27350 36500,"36,500",↑,"8,400","29.89","954,163","30,244",초전도체,'065350
주,화신정공,3710 4565 3665 4565,"4,565",↑,"1,050","29.87","6,558,142","28,166",,'126640
펀,KODEX 2차전지산업레버리지,1071 1356 1041 1356,"1,356",▲,"306","29.14","105,143,241","130,355",,'462330
증,엔켐,24050 31200 24000 30950,"30,950",▲,"6,950","28.96","596,752","17,283","'SK, LG엔솔, 전해액/폐배터리,  SK배터리아메리카, 얼티엄셀즈(LGES+GM) 등에 제품을 공급 중이며, 핵심원재료(LiPF6)의 내재화를 이디엘(중앙첨단소재 JV)을 통해 추진",'348370
펀,TIGER 2차전지TOP10레버리지,1140 1456 1115 1456,"1,456",▲,"327","28.96","17,348,168","22,788",,'412570
증,오름테라퓨틱,48850 62400 47100 62400,"62,400",▲,"13,100","26.57","477,440","27,648","(25.10.31)[단독]세계적 기술력 인정받은 오름테라퓨틱, 글로벌 4대 콘퍼런스 국내 유일 초청 UBS 헬스케어 콘퍼런스는 UBS의 선택을 받아야지만 참여할 수 있다. 특히 글로벌 기업들의 요청과 니즈가 높은 기업 중 유망 기술 바이오텍이 초청받는 것으로 알려져 오름테라퓨틱의 이번 참가는 매우 큰 의미가 있다는 평가다.오름테라퓨틱은 세계 최초로 DAC 치료제 임상에 진입했다. 대표적인 파이프라인이 혈액암 치료제로 개발되고 있는 ORM-6151이다. 현재 미국 임상 1상을 진행 중인데, DAC 치료제로서 임상에 진입한 것은 ORM-6151이 유일하다.   (25.09.17)오름테라퓨틱 ""TP53 변이까지 겨냥…혈액암 전반 공략하는 DAC 신약 개발"" [KIW 2025] 회사는 DAC로 ORM-6151를 개발했다. 급성골수성백혈병(AML)에서 많이 발현되는 CD33을 겨냥한다. 현재 세계에서 유일하게 임상 중인 DAC 신약 후보물질이다. 비임상 결과 초저농도에서도 세포 사멸을 유도했으며, 화이자의 기존 ADC ‘마일로탁’ 대비 안전성 우위를 확보했다. 이 물질은 미국 BMS에 기술이전돼 AML 환자를 대상으로 초기 임상을 진행 중이다.혈액암 전반을 겨냥한 신약도 개발 중이다. ORM-1153은 세포 생존에 필수적인 단백질 GSPT1을 분해하는 DAC다. 비임상에서 TP53 변이에서도 효과를 보였으며 기존 TPD 대비 안전성도 높았다. 이 대표는 “ORM-1153은 다수 혈액암 적응증으로 확장이 가능한 자산”이라며 “올해 11월 공개되는 미국혈액학회(ASH) 초록 및 학회장에서 구체적인 비임상 데이터를 확인할 수 있을 것”이라고 덧붙였다.  세계최초 DAC",'475830
증,올릭스,137800 172500 137500 168700,"168,700",▲,"34,100","25.33","1,414,110","232,837","(25.11.03)올릭스, 바이오유럽2025 참가…""글로벌 기술이전 확장 본격화"" (25.10.17)글로벌 MASH 신약 확보전 격화에 '릴리 맞손' 올릭스 신약 가치 재조명 글로벌 MASH 치료제 시장 규모는 오는 2030년까지 연 평균 35%씩 성장해 300억달러(약 41조7600억원) 규모를 형성할 것으로 전망된다.국내사 중인 지난 2월 일라이 릴리에 siRNA 기반 MASH 및 대사질환 신약 파이프라인 'OLX702A'를 6억3000만달러(약 9000억원)에 이전한 올릭스가 주목받는다. 글로벌 대표 비만신약 '젭바운드'(Tirzepatide) 개발사인 릴리는 관련 분야에서 매출 1위를 기록한 것은 물론, MASH 분야 임상개발 경험과 글로벌 상업화 전략을 동시에 갖춘 기업으로 꼽힌다.비만신약을 넘어 MASH 분야 패권까지 노리고 있는 릴리가 주요 수단으로 OLX702A를 선택했다는 점은 단일 파이프라인 개발을 넘어 릴리가 보유한 대사질환 제품군과의 병용 시너지 기대감으로 연결된다.  MASH 신약 후보물질(OLX702A)에 대한 독점적 권리를 총 9117억원에 일라이릴리에 이전하기로 했다고 7일 밝혔다.",'226950
