분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
신,키스트론,4760 6110 4760 6110,"6,110",↑,"1,410","30.00","7,264,787","41,082",와이어기업. 전선관련주,'475430
증,한울반도체,17890 23150 17820 23150,"23,150",↑,"5,330","29.91","9,379,724","205,079",,'320000
증,부국철강,2155 2890 2100 2890,"2,890",↑,"665","29.89","8,259,324","22,408",,'026940
경,서산,5430 6250 4970 6250,"6,250",↑,"1,435","29.80","4,933,338","28,018",,'079650
신,한솔테크닉스,12870 16430 12580 15460,"15,460",▲,"2,380","18.20","12,431,044","189,680",,'004710
신,삼성물산우B,259000 313000 255000 303000,"303,000",▲,"46,500","18.13","52,484","15,370",,'02826K
신,삼성전기우,800000 1008000 760000 954000,"954,000",▲,"145,000","17.92","512,723","469,959",,'009155
신,태성,45350 54900 44500 53400,"53,400",▲,"8,050","17.75","1,179,320","59,067","인쇄회로기판(PCB) 자동화 설비 전문 기업  PCB 장비 기술력 기반, 유리기판 신사업으로 도약 태성은 인쇄회로기판(PCB) 공정 자동화 장비 전문 기업으로, 기존 기술력을 바탕으로 차세대 반도체 소재인 유리기판 및 2차전지 복합동박 장비 등 신사업에 진출하며 성장성이 부각되고 있습니다.  주요 재료 상세 분석:  PCB 자동화 장비 전문: PCB 제조 공정에서 필수적인 습식(Wet-Station) 장비와 자동화 설비에 높은 기술력을 보유하고 있으며, 이를 기반으로 안정적인 실적을 기록 중입니다.  유리기판 장비 개발: AI 반도체 패키징의 '게임 체인저'로 불리는 유리기판 시장을 겨냥하여 관련 공정 장비를 개발하고 있습니다.  2차전지 복합동박 장비: 기존 동박보다 가볍고 안정성이 높은 2차전지용 복합동박 도금 장비를 개발하여 새로운 성장 동력을 확보했습니다.",'323280
신,제주반도체,112000 138000 110700 134000,"134,000",▲,"19,700","17.24","11,052,971","1,433,793","'온디바이스 관련주 / LPDDR 판매  온디바이스 AI 시대의 핵심, 저전력 메모리 반도체 팹리스  제주반도체는 AI 기능을 스마트폰 등 기기 자체에 탑재하는 '온디바이스 AI' 시장 성장의 핵심 수혜주로 꼽히는 팹리스(반도체 설계 전문) 기업입니다. 저전력 메모리 반도체(LPDDR) 분야에서 독보적인 기술력을 인정받고 있습니다.  주요 재료 및 상세 내용  온디바이스 AI 시장 개화: 클라우드를 거치지 않고 기기 자체에서 AI 연산을 수행하기 위해서는 고성능, 저전력 메모리 반도체가 필수적입니다. 제주반도체는 이 분야에 특화된 LPDDR 메모리를 설계하며, 시장을 주도하는 퀄컴과 미디어텍 양사로부터 제품 인증을 받은 국내 유일 기업이라는 점에서 강력한 경쟁력을 보유하고 있습니다.  정부 정책 수혜 기대감: 정부가 시스템 반도체, 특히 AI 반도체 생태계 육성을 위한 정책을 적극적으로 추진하면서 팹리스 기업에 대한 지원 기대감이 커지고 있습니다. AI 반도체 설계 기술이 국가전략기술로 지정되는 등 우호적인 환경이 조성되고 있습니다.  견조한 실적 및 성장성: 팹리스 업계의 전반적인 침체 속에서도 제주반도체는 5G 사물인터넷(IoT), 스마트폰, 차량용 반도체 시장으로 공급을 확대하며 견조한 실적 성장을 이어가고 있습니다. 재무적 안정성과 수익성 측면에서도 테마 내 타 종목 대비 높은 평가를 받고 있습니다.  최근 [특징주] 기사  2025년 10월 2일: 온디바이스 AI 테마 상승 및 AI 반도체 산업 성장 기대감이 부각되며 14.75% 상승 마감.  관련 내용: AI 및 반도체 산업 성장 기대감과 금산분리 완화 기대감에 관련주 동반 상승",'080220
신,해성디에스,73600 86600 70500 84800,"84,800",▲,"11,500","15.69","628,156","51,325","반도체용 패키징용 기판(Package Substrate)과 리드 프레임을 생산 및 판매하는 부품·소재 전문 회사다. 매출 구성은 리드프레임 69%, Package Substrate 30% 등으로 이루어져 있다.  해성디에스, 1분기 실적 저점 이후 반등 기대…목표가↑  차량용 반도체와 DDR5 전환의 동시 수혜, 실적 회복 기대  해성디에스는 차량용 반도체에 쓰이는 리드프레임과 DDR5용 패키지 서브스트레이트를 주력으로 생산하는 반도체 부품 전문 기업입니다. 전방 산업의 업황 개선과 기술 전환에 따른 구조적 성장이 기대됩니다.  주요 재료 및 상세 내용  차량용 반도체 시장 성장: 전기차, 자율주행차 시장 확대로 차량용 반도체 수요가 꾸준히 증가하고 있습니다. 해성디에스는 인피니온, ST마이크로 등 글로벌 유수의 차량용 반도체 기업들을 고객사로 확보하여 안정적인 매출 기반을 갖추고 있습니다.  DDR5 전환 수혜: 서버 및 PC 시장에서 DDR5 메모리 전환이 본격화되면서, 관련 패키지 기판의 수요가 증가하고 있습니다. 이는 동사의 실적 개선을 이끌 핵심 동력으로 꼽힙니다.  그래핀 신사업: 차세대 소재인 그래핀을 활용한 전자소재 개발 등 신사업을 통해 장기적인 성장 동력을 확보하고 있습니다.  최근 [특징주] 기사  2025년 9월 29일: DDR5 메모리 시장 성장 기대감과 반도체 후공정 업황 개선 전망이 부각되며 주가 강세. (관련 기사 제목을 통해 유추 시, 종가 등락률 확인은 어려우나 상승 마감으로 파악)  기사 제목: [특징주] 해성디에스, DDR5 성장 기대에 상승세...반도체 후공정 수혜 부각 - 와이드경제",'195870
