분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
신,코미코,99700 139200 98300 139200,"139,200",↑,"32,100","29.97","1,152,087","150,083","(25.03.10)코미코, '500억 투자' 텍사스 반도체 세정 라인 증설...삼성전자 美 수요 대응 반도체 장비 세정·코팅 전문기업 코미코가 미국 텍사스 주정부로부터 200만 달러(약 30억원) 상당의 지원금을 획득했다. 3600만 달러(약 520억원)를 투자해 공장 증축을 추진한다. 코미코는 텍사스에서 생산량을 늘려 현지 수요에 능동적으로 대응한다. 코미코는 반도체 장비 부품의 미세 오염물을 제거하고 손상을 최소화하는 세척·코팅 전문 기업이다. 삼성전자와 SK하이닉스, 인텔, TSMC, 마이크론 등 해외의 주요 반도체 업체들을 고객사로 두고 있다.  식각관련 부품, 삼성 하닉 인텔 납품",'183300
,미래에셋생명,21700 29350 19500 29350,"29,350",↑,"6,750","29.87","15,413,457","391,405",,'085620
증,스피어,32100 38500 30350 38500,"38,500",↑,"8,850","29.85","9,786,260","342,302",'2024/10/15 20:57 AI 헬스케어 국책,'347700
,엠케이전자,21600 28700 21400 28000,"28,000",▲,"5,900","26.70","3,497,037","94,198","본딩와이어 세계 1위, 솔더블 3위, 챗GPT 반도체 소재특허  엠케이전자, 반도체 패키징 소재 글로벌 선도 기업으로 AI 및 2차전지 재료로 성장 동력 확보.  HBM 시장 성장에 필수적인 차세대 패키징 소재 기업  반도체 패키징의 핵심 소재인 본딩와이어와 솔더볼을 생산하는 기업으로, 특히 HBM 시장 성장에 따른 저온 솔더볼 등 신제품의 성장성이 주목받고 있습니다.  주요 재료 및 상세 내용  글로벌 시장 지배력: 주력 제품인 본딩와이어는 글로벌 시장 점유율 1위, 솔더볼은 3위를 차지할 만큼 높은 경쟁력을 확보하고 있습니다.  HBM용 신제품: HBM 패키징에 사용되는 저온 솔더볼 등 고부가가치 신제품 출시를 통해 반도체 업황 개선과 함께 큰 폭의 실적 성장이 예상됩니다.  안정적인 고객사: 국내외 140여 곳에 이르는 메모리, 비메모리, OSAT(후공정 외주업체) 고객사를 확보하여 안정적인 사업 기반을 갖추고 있습니다.  최근 [특징주] 기사  2023년 5월 25일: AI 반도체 대장주인 엔비디아에 반도체 소재를 공급한다는 사실이 부각되며 상승 마감.  기사 제목: [특징주] 엠케이전자, AI 대장 엔비디아에 반도체 소재 공급 '↑' - 아이뉴스",'033160
,티에스이,213500 269500 198000 269000,"269,000",▲,"61,500","29.64","443,357","109,124","티에스이, 프로브카드 성장 본격화…밸류 매력 충분-신한 오강호 신한투자증권 연구원은 “프로브카드 매출액이 추정치 대비 37% 상회했다”며 “주요 고객사 수주 증가가 핵심이며 반도체 부문 주요 제품 실적 개선을 확인한 점에 주목한다”고 설명했다. 이어 “제품 경쟁력 입증과 동시에 밸류에이션 매력도 충분한 업체로 주가 우상향 뷰를 유지한다”고 했다.신한은 “프로브카드 성장 확인은 제품 포트폴리오 확대를 뜻하며 업황 개선에 따라 수주 확대가 전망된다”며 “2026년 프로브카드 매출액은 23% 증가할 것”이라고 진단했다.  (25.11.02)티에스이, 인터페이스 보드 고성장 기대…디램 프로브카드 모멘텀도 티에스이 관계자는 인터페이스 보드에 대해 “국내에선 삼성, SK하이닉스도 공급하고 있고 해외의 경우 AMD, 인텔, 샌디스크, 웨스턴디지털 등 글로벌로 다 납품하고 있다”고 말했다. 회사에 따르면 지속적인 거래 관계에 더해 공급 물량이 늘어나고 있다.정홍식 LS증권 연구원은 “특히 AMD로 공급되는 비메모리 보드 성장이 부각되고 있어 긍정적”이라고 평가했다.정 연구원은 “티에스이는 중국 CXMT로 디램 프로브카드를 공급하고 있고, 내년 상반기 삼성으로 디램(HBM 포함) 프로브카드 공급 기대감이 높은 상황”이라고 전망했다.  프로브카드, 테스트소켓, 인터페이스보드 제조업체",'131290
증,라이콤,7080 9200 7080 8790,"8,790",▲,"1,710","24.15","14,759,208","125,969",세계에서 가장작은 라이다용 광섬유개발,'388790
,이수화학,12310 15750 11910 15220,"15,220",▲,"2,910","23.64","3,637,616","50,826",에코프로비엠과 황화리튭 개발 MOU,'005950
신,주성엔지니어링,197300 254000 183000 245500,"245,500",▲,"46,500","23.37","7,355,861","1,690,604","원자층 증착(ALD)와 플라즈마 화학기상증착(PECVD) 장비를 주력으로 하는 반도체·디스플레이 장비 업체로, 메모리 공정 미세화와 적층 고도화가 진행될수록 수혜가 확대되는 사업 구조를 갖추고 있다. 특히 디램(DRAM)과 낸드(NAND) 모두에서 공정 난도가 높아지며 증착 공정 비중이 확대되고 있다는 점이 긍정적으로 평가됐다.밸류에이션 측면에서도 저평가 구간에 있다는 판단이다. 한국IR협의회는 주성엔지니어링의 현재 주가가 업황 회복 가능성과 기술 경쟁력을 충분히 반영하지 못하고 있다며, 메모리 투자 사이클이 본격적으로 회복 국면에 진입할 경우 밸류에이션 재평가 여지가 크다고 분석했다.",'036930
,심텍,107500 138100 101100 133800,"133,800",▲,"24,300","22.19","3,784,072","487,135","심텍, AI 시대 차세대 메모리 SoCAMM 시장 선점 심텍은 AI 서버 시장의 게임 체인저로 부상한 차세대 메모리 모듈 'SoCAMM' 기판 시장에서 독점적인 지위를 확보하며 성장이 기대되는 반도체 기판 전문 기업입니다.  주요 재료 상세 분석:  SoCAMM (차세대 메모리 모듈) 독점 공급: HBM의 높은 비용과 전력 소모를 보완할 대안으로 엔비디아, 인텔 등이 주도하는 새로운 메모리 규격 'SoCAMM' 시장에서 핵심 공급사로 자리매김했습니다. 특히 삼성전자, SK하이닉스, 마이크론 등 글로벌 메모리 3사 모두에게 1차 공급사(First Vendor)로 선정된 유일한 기업으로, 올해 4분기부터 본격적인 양산 및 출하가 예상되어 가장 강력한 성장 동력으로 꼽힙니다.  반도체 업황 회복 및 낸드(NAND) 실적 개선: AI 데이터센터 확산에 따라 대용량 저장장치인 QLC SSD 수요가 증가하면서, 부진했던 낸드(NAND)향 패키징 기판 사업이 본격적인 회복세에 접어들었습니다. 이는 공장 가동률 상승과 함께 하반기 이익률 개선을 이끌 것으로 기대됩니다.  기존 사업의 견고함: 전통적인 캐시카우인 DDR5, GDDR7 등 메모리 모듈 기판과 고부가가치 서브스트레이트 기판 사업에서도 글로벌 최상위권의 경쟁력을 유지하며 안정적인 실적 기반을 갖추고 있습니다.",'222800
경,삼화콘덴서,106200 140000 104000 133300,"133,300",▲,"23,700","21.62","1,723,809","217,238","MLCC 업황 개선과 우량한 재무구조를 겸비한 강소기업  전력용 콘덴서(진상용 콘덴서)와 MLCC를 주력으로 생산하는 기업으로, MLCC 테마 상승과 함께 테마 내에서 돋보이는 재무 안정성을 바탕으로 주목받고 있습니다.  주요 재료 및 상세 내용  MLCC 업황 회복: IT 기기 수요 회복과 전장용 MLCC 시장 성장에 따라 관련 매출 증대가 기대됩니다.  독보적인 기술력: 주력 사업인 진상용 콘덴서 분야에서 50년 이상의 업력을 바탕으로 국내 시장점유율 1위를 유지하며 안정적인 캐시카우 역할을 하고 있습니다.  우수한 재무 안정성: MLCC 테마 내 타 기업들과 비교하여 성장성, 안정성, 수익성 점수가 모두 높아 투자 매력도가 높은 것으로 평가받고 있습니다.  최근 [특징주] 기사  2025년 9월 22일: MLCC 테마가 시장에서 강세를 보이면서 동반 상승하여 6.66% 상승 마감.  기사 제목: 특징주, 삼화콘덴서-MLCC 테마 상승세에 6.66% ↑ - 매일경제",'001820
