분,종목명,L일봉H,현재가,대비,,등락률,거래량,메모,종목코드
,성호전자,40050 49600 39700 47500,"47,500",▲,"8,050","20.41","14,599,223","(23.05.04)[특징주] 성호전자, 삼성전자 독점 공급 캐패시터 필름 기대감에 강세 성호전자 사업보고서에 따르면 이 회사는 2005년부터 D-TV용 필름 캐패시터를 삼성전자에 독점 공급하는 등 국내시장 점유율 70% 이상을 꾸준히 유지하고 있다.2008년부터는 높아진 품질경쟁력과 가격경쟁력을 바탕으로 대만, 일본 등 해외 디스플레이용 필름 캐패시터 시장을 적극 공략해 도시바, 산요, 파나소닉, 애플, 필립스 등에 제품을 공급하기 시작했다. 국내 자동차 부품업체와 공동 개발한 필름콘덴서를 포르쉐와 아우디 전기차에 공급하기로 한 바 있다.  필름 케퍼시티. 국내 점유율 70 %  성호전자는 삼성전자에 캐패시터 필름 독점 공급을 비롯해 애플과 포르쉐, 아우디 등 전기차에도 공급 중인 것으로 알려져 있다.",'043260
주,삼성생명,410500 518000 405000 463500,"463,500",▲,"53,500","13.05","1,039,371",,'032830
증,코오롱티슈진,92900 110800 89700 108000,"108,000",▲,"14,300","15.26","1,024,610","""코오롱티슈진, TG-C 가치 8.3조 추정"" 한국투자증권은 12일 코오롱티슈진에 대해 골관절염 세포·유전자 치료제 'TG-C' 가치가 8조3000억원에 달한다고 분석했다. 그는 ""2041년 적격 환자의 8% 즉 40만명에 처방될 경우 매출액은 13조원, 순이익은 7조2000억원에 달할 것""이라고 강조했다. 위 연구원은 ""내년 6~7월 임상 3상 결과 발표가 주요 상승 동력""이라며 ""환자 수가 많고, 경쟁약 없는 미국 OA 신약 시장에서 성공 가능성이 큰 임상 3상 중""이라고 분석했다. 이어 ""시가총액은 3조8000억원에 불과하다""며 ""TG-C가 미국 시장에서 의미 있는 초기 점유율 0.5%를 달성할 시점은 2030년""이라고 내다봤다.",'950160
신,NC,295500 343500 286000 327500,"327,500",▲,"32,000","10.83","1,810,232",,'036570
신,미래에셋생명,15050 18940 14590 18440,"18,440",▲,"3,390","22.52","5,487,745",,'085620
경,네이처셀,27350 33500 25100 30750,"30,750",▲,"3,450","12.64","3,229,311",'조인트스템관련 임상 3상 시험을 미국 식품의약품청(FDA)이 현지 품목허가를 위한 최종 임상시험으로 인정했다는 보도가 전해지면서 상한가를 기록 중이다.2025/04/22 23:09,'007390
경,엠케이전자,22700 26500 19540 25150,"25,150",▲,"2,800","12.53","1,408,106","본딩와이어 세계 1위, 솔더블 3위, 챗GPT 반도체 소재특허  엠케이전자, 반도체 패키징 소재 글로벌 선도 기업으로 AI 및 2차전지 재료로 성장 동력 확보.  HBM 시장 성장에 필수적인 차세대 패키징 소재 기업  반도체 패키징의 핵심 소재인 본딩와이어와 솔더볼을 생산하는 기업으로, 특히 HBM 시장 성장에 따른 저온 솔더볼 등 신제품의 성장성이 주목받고 있습니다.  주요 재료 및 상세 내용  글로벌 시장 지배력: 주력 제품인 본딩와이어는 글로벌 시장 점유율 1위, 솔더볼은 3위를 차지할 만큼 높은 경쟁력을 확보하고 있습니다.  HBM용 신제품: HBM 패키징에 사용되는 저온 솔더볼 등 고부가가치 신제품 출시를 통해 반도체 업황 개선과 함께 큰 폭의 실적 성장이 예상됩니다.  안정적인 고객사: 국내외 140여 곳에 이르는 메모리, 비메모리, OSAT(후공정 외주업체) 고객사를 확보하여 안정적인 사업 기반을 갖추고 있습니다.  최근 [특징주] 기사  2023년 5월 25일: AI 반도체 대장주인 엔비디아에 반도체 소재를 공급한다는 사실이 부각되며 상승 마감.  기사 제목: [특징주] 엠케이전자, AI 대장 엔비디아에 반도체 소재 공급 '↑' - 아이뉴스",'033160
신,아남전자,1200 1475 1151 1330,"1,330",▲,"126","10.47","13,645,706",삼성 차량용 반도체 M&A 관련,'008700
증,동양고속,35350 45950 34000 38900,"38,900",▲,"3,550","10.04","1,735,840",,'084670
신,에이티넘인베스트,3000 3945 2890 3275,"3,275",▲,"240","7.91","13,430,295",'224일선 돌파여부 확인 필요2024/11/12 06:44,'021080
증,이브이첨단소재,1488 1910 1487 1633,"1,633",▲,"112","7.36","19,244,056","'FPCB 사업 기반, 2차전지 소재·투자로 성장 모색 이브이첨단소재는 연성인쇄회로기판(FPCB) 제조업을 본업으로 영위하며, 신성장 동력 확보를 위해 2차전지 소재(리튬) 유통 및 전고체 배터리 분야 투자 등 사업 다각화를 추진하고 있습니다.  주요 재료 상세 분석:  전장·배터리용 FPCB: 주력 사업인 FPCB 부문에서 폭스바겐, GM, 포드 등 글로벌 완성차 업체를 고객사로 확보하고 전기차 배터리용 FPCB 매출을 늘려가고 있습니다. 베트남에 2공장을 설립하며 생산 능력 확대를 꾀하고 있습니다.  리튬 유통 사업: 신사업으로 수산화리튬, 탄산리튬 등 2차전지 핵심 소재를 확보하여 국내 기업에 공급하는 유통 사업을 진행하고 있습니다.  전고체 배터리 투자: 차세대 배터리로 주목받는 전고체 배터리 개발사 '프롤로지움'에 지분 투자를 단행하여 미래 성장 동력을 확보했습니다.  폴로지움 관련주 // 리튬이차전지의 전해액 소재",'131400
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
