분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
증,삼화전자,2750 3575 2710 3575,"3,575",↑,"825","30.00","12,339,256","41,877",,'011230
환,비엘팜텍,3710 4595 3350 4595,"4,595",↑,"1,060","29.99","9,519,852","39,277",,'065170
,져스텍,11900 15790 11810 15790,"15,790",↑,"3,640","29.96","7,077,784","104,686",,'153890
증,성문전자,2290 2975 2190 2975,"2,975",↑,"685","29.91","8,422,015","23,684",,'014910
신,동원개발,2380 3150 2265 3150,"3,150",↑,"725","29.90","12,023,344","34,440",,'013120
펀,RISE SK하이닉스단일종목레버리지,19025 23605 16500 23210,"23,210",▲,"4,985","27.35","1,196,052","24,893",,'0192L0
펀,1Q SK하이닉스선물단일종목레버리지,19815 24665 17000 24200,"24,200",▲,"5,185","27.27","867,368","17,973",,'0198D0
펀,KODEX SK하이닉스단일종목레버리지,22655 27880 19435 27400,"27,400",▲,"5,365","24.35","267,083,350","6,405,062",,'0193T0
펀,TIGER SK하이닉스단일종목레버리지,19040 23720 16500 23390,"23,390",▲,"4,545","24.12","158,151,106","3,216,377",,'0195S0
펀,SOL SK하이닉스단일종목레버리지,19185 23360 16315 22945,"22,945",▲,"4,370","23.53","3,531,043","71,461",,'0197W0
펀,ACE SK하이닉스단일종목레버리지,18875 23515 16395 23125,"23,125",▲,"4,395","23.47","2,907,127","59,144",,'0194T0
신,미래나노텍,7220 9220 7120 8690,"8,690",▲,"1,480","20.53","12,933,427","109,136","미래나노텍, 2차전지 핵심 소재인 수산화리튬 사업으로 재도약하는 기업. 기존 디스플레이용 광학필름 사업에서 자회사 '미래첨단소재'를 통해 2차전지 소재 기업으로 성공적으로 변신했습니다. 주력 제품은 전기차 배터리의 성능을 좌우하는 수산화리튬과 양극재 첨가제이며, 국내외 주요 배터리 및 양극재 제조사에 공급하며 빠르게 성장하고 있습니다.  추가적으로 중요한 내용 사업 전환 성공: 본업인 LCD 광학필름 사업의 안정적인 기반 위에, 2022년 인수한 '미래첨단소재'를 통해 2차전지 소재 사업을 핵심 성장 동력으로 삼고 있습니다. 이미 2차전지 소재 부문 매출이 기존 사업 매출을 넘어서는 등 성공적인 체질 개선을 이루었습니다.  핵심 제품 경쟁력: 주력 제품인 수산화리튬은 니켈 함량이 80% 이상인 하이니켈 양극재에 필수적으로 사용되는 핵심 원료입니다. 또한, 양극재 첨가제는 배터리의 효율과 수명을 늘리는 역할을 하여 높은 기술력을 요구하는 소재입니다.  주요 고객사: LG에너지솔루션, 포스코퓨처엠, 엘앤에프 등 국내 최상위 배터리 셀 및 양극재 기업들을 고객사로 확보하여 안정적인 공급망을 구축하고 있습니다.  최근 [특징주] 기사 및 주가 동향 2025년 10월 24일: 테슬라발 호재와 2차전지 업황 반등 기대감이 맞물리며 리튬 관련주가 동반 상승했고, 미래나노텍 역시 시장의 주목을 받으며 +5.63% 상승 마감했습니다.  2025년 7월 31일: 자회사 미래첨단소재가 국내 대형 양극재 제조사와 4.5만톤 규모의 무수리튬 공급 계약을 체결했다는 소식에 주가가 급등하며 +19.91% 상승 마감했습니다.  2025년 7월 18일: SK온과 에코프로이노베이션의 수산화리튬 공급 계약 소식에 배터리 소재 수요 확대 기대감이 커지면서 관련주로 부각되어 +19.43% 상승 마감했습니다.",'095500
증,미래에셋 레버리지 SK하이닉스 단일종목ETN,22560 27250 19155 26700,"26,700",▲,"4,285","19.12","1,254,761","27,749",,'520101
증,미래에셋 레버리지 삼성전자 단일종목 ETN,16920 19515 16215 19210,"19,210",▲,"2,710","16.42","2,198,405","38,942",,'520100
펀,TIGER 삼성전자단일종목레버리지,16540 19165 15900 18805,"18,805",▲,"2,605","16.08","55,710,601","985,387",,'0195R0
펀,ACE 삼성전자단일종목레버리지,16655 19170 15895 18800,"18,800",▲,"2,595","16.01","1,405,116","24,950",,'0194M0
펀,KODEX 삼성전자단일종목레버리지,18050 20770 17275 20375,"20,375",▲,"2,775","15.77","103,175,757","1,983,045",,'0193W0
신,파세코,6100 7420 6100 6830,"6,830",▲,"860","14.41","4,600,223","32,112",폭염 대비 냉방 제품 제조 풀가동…창문형 에어컨 폭풍성장,'037070
증,세미티에스,3975 4570 3925 4480,"4,480",▲,"520","13.13","4,261,795","18,355",,'0017J0
신,미래에셋증권,40050 46400 39250 44800,"44,800",▲,"4,650","11.58","6,803,896","292,070","미래에셋컨설팅, KRWX 등 상표권 등록",'006800
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
