분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
증,부국철강,3115 3755 2890 3755,"3,755",↑,"865","29.93","24,323,734","81,945",,'026940
주,보해양조,2505 3040 2255 3040,"3,040",↑,"700","29.91","17,767,767","48,318",'김동연 관련주//주류,'000890
펀,SOL SK하이닉스선물단일종목인버스2X,6860 8760 6765 8645,"8,645",▲,"1,840","27.04","242,729,510","1,888,519",,'0197X0
펀,PLUS 삼성전자선물단일종목인버스2X,11960 14885 11700 14600,"14,600",▲,"2,905","24.84","16,897,442","216,487",,'0193L0
펀,KODEX 200선물인버스2X,63 76 62 76,"76",▲,"14","22.58","4,294,967,295","976,188",,'252670
증,미래에셋 인버스 2X 코스피200 선물 ETN B,19640 23755 19340 23755,"23,755",▲,"4,205","21.51","1,137,206","23,894",,'520102
,국순당,3405 4425 3215 4115,"4,115",▲,"710","20.85","4,129,060","17,136",,'043650
증,동양고속,31850 41400 30100 37750,"37,750",▲,"5,900","18.52","1,273,107","49,272",,'084670
증,삼성 인버스 2X 코스닥150 선물 ETN,1657 1890 1606 1879,"1,879",▲,"264","16.35","23,974,742","42,595",,'530107
증,미래에셋 인버스 2X 코스닥150 선물 ETN,1669 1897 1609 1891,"1,891",▲,"260","15.94","11,509,370","20,706",,'520057
,JW신약,2795 3465 2790 3105,"3,105",▲,"375","13.74","68,450,029","217,661","(22.01.05)[특징주]JW신약, 이재명 탈모 치료 정책 수혜…탈모치료제 판매 '부각' (25.05.29)JW신약, 탈모치료제 포트폴리오 강화…‘마이딜 5% 폼 에어로졸’ 출시",'067290
신,해태제과식품,5470 7110 5350 6220,"6,220",▲,"750","13.71","2,660,254","18,020",,'101530
증,천일고속,178900 225500 174000 202000,"202,000",▲,"23,100","12.91","141,351","29,771",,'000650
경,강동씨앤엘,2050 2700 1962 2310,"2,310",▲,"190","8.96","34,666,163","81,877",,'198440
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
