분,종목명,L일봉H,현재가,대비,,등락률,거래량,메모,종목코드
증,마음AI,13680 17600 12900 17600,"17,600",↑,"4,060","29.99","1,349,833","'마음AI는 국내 최초로 협동로봇을 출시한 한화로보틱스와 차세대 로보틱스 플랫폼 기술 협력을 위한 전략적 업무협약(MOU)을 체결했다고 29일 밝혔다.이번 협약을 통해 양사는 VLA(Vision-Language-Action) 모델 기반 ‘WoRV’ 자율제어 기술을 로보틱스 플랫폼에 적용하고 상용화를 추진하기로 합의했다.‘WoRV(World model for Robotics and Vehicle control)’는 마음AI가 독자 개발한 시각·언어·행동(Vision·Language·Action) 통합 기반의 자율제어 모델이다. 로봇이 스스로 환경을 인지하고 판단하며 움직일 수 있도록 하는 핵심 AI 기술이다.  삼성전자에서 방문 / KT, 네이버와 함께 '정부 초거대 AI 생태계 구축사업' 공급자 선정",'377480
신,유진테크,118600 155700 118300 143000,"143,000",▲,"23,200","19.37","983,836","0. 사업 내용 반도체 전공정 단계에서 웨이퍼에 박막을 입히는 **증착 장비(ALD, CVD)**를 주력으로 제조합니다. 삼성전자, SK하이닉스, 마이크론 등 글로벌 메모리 3사를 모두 고객사로 두고 있으며, 특히 D램 미세화 공정에 필수적인 기술 경쟁력을 보유한 기업입니다.  1. 핵심 재료 요약 ""D램 미세화 공정 전환 가속화 및 HBM 투자 확대에 따른 전공정 장비(ALD) 수혜""  2. 상세 분석 내용 D램 미세화(Tech Migration) 수혜: 반도체 회로가 미세해질수록 기존 장비보다 정밀한 두께 조절이 가능한 ALD(원자층 증착) 장비의 수요가 폭발적으로 증가합니다. 유진테크는 이 분야에서 독보적인 기술력을 인정받고 있습니다.  고객사 다변화: 특정 기업에 의존하지 않고 삼성전자, SK하이닉스, 마이크론 등 글로벌 메이저 업체 모두에게 장비를 공급하고 있어, 반도체 업황 회복 시 실적 개선 폭이 큽니다.  HBM(고대역폭메모리) 모멘텀: AI 반도체 수요로 인해 HBM 생산 능력이 확대되면서, 이를 뒷받침하기 위한 선단 공정 장비의 발주가 지속적으로 이어지고 있습니다.",'084370
신,덕산하이메탈,11780 15010 11780 15010,"15,010",↑,"3,460","29.96","2,916,861","'덕산하이메탈, 기판·HDD 사이클 반등 '직수혜'…""현 시총, 본업 기업가치도 미반영"" 양승수 메리츠증권 연구원은 ""AI용 FC-BGA의 수급 불균형이 심화되면서 벤더 다변화가 가속화되고 있다. 이는 국내 및 대만 업체 중심으로 MSB을 공급하는 동사에게 우호적인 환경""이라고 짚었다.또한 ""추론(Inference)용 AI 애플리케이션의 급격한 확산으로 콜드 데이터 저장 수요가 급증하며 HDD 수요가 폭발적으로 증가하고 있다""며 ""아직 MSB 매출 내 HDD의 비중은 낮지만, 이익 기여도가 매우 높고 동사가 단독으로 대응하고 있기 때문에 동사 실적 성장의 핵심 축으로 부상할 것""이라고 점쳤다.이와 함께 ""동사는 메모리향 물량 대응을 위해 솔더볼 생산 능력 확충을 추진 중이며, 설비 증설 및 생산 효율 제고를 통해 생산능력(Capa)이 약 50% 확대될 것""이라고 덧붙였다.  AI 반도체용 초정밀 솔더볼(MSB) 글로벌 1위 기업 덕산하이메탈은 반도체 칩과 기판을 연결하는 핵심 소재 '솔더볼' 전문 기업으로, 특히 AI 반도체 패키징에 필수적인 마이크로솔더볼(MSB) 분야에서 세계 1위의 독점적 지위를 차지하고 있습니다.  주요 재료 상세 분석:  마이크로솔더볼(MSB)의 압도적 경쟁력: AI, 서버, 자율주행 등 고성능 반도체에 사용되는 첨단 기판(FC-BGA)에는 기존 솔더볼보다 훨씬 작고 정밀한 마이크로솔더볼(MSB)이 필수적입니다. 덕산하이메탈은 이 MSB 시장에서 **글로벌 점유율 약 80%**를 차지하는 독점적 공급사로, AI 시장 성장의 직접적인 수혜를 받고 있습니다.  글로벌 빅테크 공급망의 핵심: 삼성전자, 삼성전기를 핵심 고객사로 두고 있으며, 이들을 통해 엔비디아, 애플 등 글로벌 빅테크 기업에 최종적으로 제품이 공급되는 구조를 갖추고 있습니다. 최근 생산능력(CAPA) 증설을 완료하여 폭발적으로 증가하는 수요에 적극 대응하고 있습니다.  수소·방산 등 신사업 확장: 본업 외에도 자회사를 통해 미래 성장 동력을 확보하고 있습니다. 자회사 '덕산에테르씨티'는 수소 운송용 초대형 고압용기를, '덕산넵코어스'는 정밀 항법 장치 등 방위·우주항공 사업을 영위하며 기업 가치를 높이고 있습니다.  1. 일반 D램과의 관계 (간접적 영향) 사용되기는 함: 현대의 D램 패키지는 대부분 BGA(Ball Grid Array) 방식을 사용하며, 이때 반도체 기판과 외부 회로를 연결하기 위해 '솔더볼'이 사용됩니다. 따라서 D램 생산량이 늘어나면 덕산하이메탈의 일반 솔더볼 수요도 자연스럽게 증가합니다.  핵심 성장 동력은 아님: 하지만 일반 D램에 사용되는 솔더볼은 기술적 난이도가 높지 않고 표준화된 제품입니다. 덕산하이메탈의 진짜 경쟁력이자 미래 성장 동력은 일반 솔더볼이 아닌, 아래에서 설명할 '마이크로솔더볼(MSB)' 입니다.  2. 핵심 성장 동력과의 관계 (제한적 영향) 주력 시장은 시스템 반도체: 덕산하이메탈의 핵심 제품인 마이크로솔더볼(MSB) 은 AI 가속기(GPU), 고성능 서버용 CPU, 자율주행차용 칩 등 고성능 시스템 반도체에 주로 사용됩니다.  왜 시스템 반도체인가?: 이 칩들은 성능이 매우 높아 수천 개 이상의 입출력 단자(I/O)가 필요하며, 이를 좁은 면적에 구현하기 위해 매우 작고 정밀한 마이크로솔더볼이 필수적이기 때문입니다.  HBM과의 관계: HBM(고대역폭 메모리)은 여러 개의 D램을 수직으로 쌓은 메모리 반도체입니다. HBM 패키지 자체를 메인보드나 다른 칩과 연결할 때 솔더볼이 사용되지만, HBM 기술의 핵심은 D램 다이를 연결하는 '마이크로 범프'와 'TSV(실리콘 관통 전극)' 기술입니다. 따라서 HBM 시장 성장이 덕산하이메탈에 긍정적이긴 하나, 직접적인 핵심 수혜주로 보기는 어렵습니다.    AI 부품주 솔더볼 세계 1위, 엔비디아 삼성전자 고객사  (25.07.30)덕산하이메탈, ‘삼성-테슬라 계약’ 수혜 기대에 7%↑...삼성전기 AI 기판 협력사 부각[특징주] 박강호 대신증권 연구원은 “삼성전자가 테슬라의 인공지능 반도체를 공급하는 계약과 관련해 삼성전기의 FC BGA 사업이 수혜가 예상된다”며 “삼성전기는 삼성전자와 테슬라의 이전 반도체 AI4, AI5용 반도체 기판인 FC BGA를 공급했다”고 설명했다.덕산하이메탈은 삼성전기의 AI용 반도체 첨단기판인 FC-BGA(Flip Chip BGA) 패키징 공정에 필요한 솔더볼(Solder Ball) 및 마이크로솔더볼(MSB)을 주요 공급하는 핵심 소재업체로 글로벌 MSB 시장 점유율 약 80% 수준을 차지하고 있다.",'077360
증,팸텍,1981 2360 1816 2360,"2,360",↑,"544","29.96","18,005,281",,'271830
신,원익IPS,97000 127200 97000 124300,"124,300",▲,"26,400","26.97","3,524,383","원익 IPS의 사업은 크게 반도체, 디스플레이, 태양전지 장비로 나뉩니다. 이 중 매출의 대부분은 반도체 부문에서 발생합니다.  반도체 장비: 반도체 회로를 만드는 전공정, 그중에서도 웨이퍼 위에 얇은 막을 입히는 증착(Deposition) 장비가 주력 제품입니다.  PECVD (플라즈마 화학 기상 증착): 매출의 가장 큰 비중(60-70%)을 차지하며, 3D 낸드플래시를 높이 쌓아 올리는 공정의 핵심 장비입니다.  ALD (원자층 증착): 원자 단위로 매우 얇고 균일한 박막을 증착하는 고난도 기술 장비입니다. 10나노 이하의 미세 공정과 고대역폭 메모리(HBM) 생산에 필수적이며, AI 반도체 시장 성장의 핵심 수혜 기술로 꼽힙니다.  디스플레이 장비: OLED 패널 제조에 필수적인 박막봉지(Encapsulation) 설비와 드라이 에처(Dry Etcher, 건식 식각장비) 등을 공급합니다. 특히 폴더블 디스플레이 시장 확대에 따라 중요성이 부각되고 있습니다.",'240810
신,테스,103000 135900 102200 126300,"126,300",▲,"21,700","20.75","1,430,345","'sic전력반도체용 핵심 장비   [특징주] 테스 급등, “유럽·일본 독점 깼다” SiC 전력반도체용 핵심 장비 첫 국산화 성공 11일 테스는 SiC 전력반도체의 필수 공정인 에피택시 성장을 위한 고온 화학기상증착(HTCVD) 장비 '트리온(TRION)'을 상용화하고, 본격 양산 출시에 들어간다고 밝혔다. TRION은 SiC 웨이퍼 표면에 고온에서 결정 구조를 정밀하게 쌓아주는 에피 공정 전용 장비로 두께와 도핑 농도(불순물 투입)를 정밀하게 제어할 수 있는 것이 강점이다. 실리콘카바이드 전력반도체 핵심 공정 장비는 지금까지 유럽과 일본 업체들이 사실상 독점해온 고난도 분야로, 국내 기업이 국산화에 성공한 것은 이번이 처음이다. 테스는 이 장비를 오는 14일 부산 벡스코에서 열리는 세계 최대 탄화규소 학술대회 ICSCRM 2025에서 공개할 예정이다.  ""테스, DRAM 신규 투자 본격화 기대"" - CTT 리서치 ""테스는 웨이퍼 후면 박막 증착 장비인 BSD PECVD를 상반기부터 SK하이닉스으로 공급했으며, 현재 낸드 및 파운드리 고객사와 품질 테스트를 진행 중이다""고 전했다. 이어 ""이르면 연내 테스트를 마치고 양산 매출이 발생할 수 있을 것으로 기대된다""고 덧붙였다. Low-K PECVD 장비 역시 4분기부터 매출 반영이 시작돼 신규 장비 기여도가 확대될 것으로 전망했다. CTT리서치는 ""신규 장비(BSD 및 Low-K)의 매출 증가와 해외 고객사 매출 증가로 영업이익률(OPM)이 점진적으로 높아지고 있다""며 ""12개월 선행 주가수익비율(PER) 9.6배 수준은 저평가 구간으로 판단된다""고 진단했다.  테스, SK하이닉스·삼성전자 투자 확대 수혜 기대 - 한화투자증권 4분기부터는 SK하이닉스 M15X 투자가 본격화되고 삼성전자 P4 투자 효과가 지속되면서 매출액 891억 원, 영업이익 192억 원으로 각각 전분기대비 21%, 90% 증가하며 실적이 크게 개선될 것으로 기대된다. 특히 SK하이닉스향 수주가 최근 두 차례에 걸쳐 총 343억 원 규모로 공시되며 투자 확대에 대한 기대감을 높이고 있다. 한화투자증권은 테스가 주요 고객사의 투자 확대와 신규 장비 매출 기여로 2024년 4분기부터 강력한 이익 성장 구간에 진입했으며, 이 추세가 2026년까지 이어질 것으로 전망한다. (25.09.12)[특징주] 테스 급등, “유럽·일본 독점 깼다” SiC 전력반도체용 핵심 장비 첫 국산화 성공 11일 테스는 SiC 전력반도체의 필수 공정인 에피택시 성장을 위한 고온 화학기상증착(HTCVD) 장비 '트리온(TRION)'을 상용화하고, 본격 양산 출시에 들어간다고 밝혔다. TRION은 SiC 웨이퍼 표면에 고온에서 결정 구조를 정밀하게 쌓아주는 에피 공정 전용 장비로 두께와 도핑 농도(불순물 투입)를 정밀하게 제어할 수 있는 것이 강점이다. 실리콘카바이드 전력반도체 핵심 공정 장비는 지금까지 유럽과 일본 업체들이 사실상 독점해온 고난도 분야로, 국내 기업이 국산화에 성공한 것은 이번이 처음이다. 테스는 이 장비를 오는 14일 부산 벡스코에서 열리는 세계 최대 탄화규소 학술대회 ICSCRM 2025에서 공개할 예정이다.2025/09/15 17:35",'095610
신,브이엠,56700 70400 54500 65500,"65,500",▲,"11,300","20.85","2,155,718","(25.09.04)[특징주]SK하이닉스 동행 브이엠, 실적 개선 기대감에 신고가 앞서 브이엠은 지난달 SK하이닉스와 90억원 규모의 반도체 제조 장비 단일판매·공급계약을 체결했다. 브이엠은 국내 유일 에칭(식각) 장비 업체다. 박 연구원은 ""회사는 최근 2년간 주 고객사의 투자 축소 영향으로 영업적자를 기록했으나, 2025년 상반기부터 SK하이닉스의 범용 디램 캐파 투자 증가로 인한 실적 개선이 기대된다""며 ""2025년 4분기부터 M15X향 장비 매출이 본격적으로 인식되면서 가파른 실적 성장을 보여줄 것""으로 내다봤다.",'089970
신,주성엔지니어링,197100 255000 190300 250500,"250,500",▲,"53,600","27.22","6,828,007","원자층 증착(ALD)와 플라즈마 화학기상증착(PECVD) 장비를 주력으로 하는 반도체·디스플레이 장비 업체로, 메모리 공정 미세화와 적층 고도화가 진행될수록 수혜가 확대되는 사업 구조를 갖추고 있다. 특히 디램(DRAM)과 낸드(NAND) 모두에서 공정 난도가 높아지며 증착 공정 비중이 확대되고 있다는 점이 긍정적으로 평가됐다.밸류에이션 측면에서도 저평가 구간에 있다는 판단이다. 한국IR협의회는 주성엔지니어링의 현재 주가가 업황 회복 가능성과 기술 경쟁력을 충분히 반영하지 못하고 있다며, 메모리 투자 사이클이 본격적으로 회복 국면에 진입할 경우 밸류에이션 재평가 여지가 크다고 분석했다.",'036930
증,에이치엠넥스,4305 4920 4145 4800,"4,800",▲,"1,015","26.82","6,715,411",,'036170
신,피에스케이,94400 117700 91000 107300,"107,300",▲,"16,700","18.43","1,605,595","(25.10.20)“피에스케이, 중국 반도체 제재 덕 점유율 확대 전망” 국내 장비사 중에서는 D램 3사와 파운드리 3사 모두를 고객사로 확보할 수 있는 유일한 기업이 될 가능성이 있다는 평가도 나왔다. 채민숙 한국투자증권 연구원은 ""미국의 대중 제재로 인한 북미 고객사향 점유율 확장은 이제 시작""이라며 ""중장기 안정적인 실적을 바탕으로 주가가 재평가 받을 수 있는 구간""이라고 말했다.아울러 ""최근 메모리 반도체 업계의 투자 사이클이 길어지면서 주요 IDM(종합 반도체 제조사) 업체들을 고객사로 확보한 피에스케이의 경쟁력이 더욱 부각될 것""이라며 ""그동안 PR 스트립 장비에 비해 매출이 정체돼 있던 '뉴 하드마스크 스트립 장비(New Hard Mask Strip)'와 '베벨 에치(Bevel Etch) 장비'의 매출이 회복되면서 실적 개선이 본격화될 것""이라고 전망했다.  (22.04.08)피에스케이·대원산업, 올해 인텔 '우수 공급업체'로 선정 국내 반도체 전공정 장비업체 피에스케이(PSK)는 Valued 상을 수상했다. 피에스케이는 PR 스트립 및 드라이 클리닝 장비를 주력으로 생산하고 있다. 국내 주요 반도체 제조업체인 삼성전자와 SK하이닉스는 물론 인텔, 마이크론, 소니 등에 장비를 납품하고 있다.",'319660
