분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
신,TS인베스트먼트,1321 1527 1321 1527,"1,527",↑,"352","29.96","12,351,035","18,480",에임메드 180억 A시리즈 투자,'246690
신,LG전자,245000 293000 236500 293000,"293,000",↑,"67,500","29.93","22,714,511","6,222,061",,'066570
신,LG씨엔에스,89100 113800 88700 113800,"113,800",↑,"26,200","29.91","21,819,176","2,314,073","'공공AI, 스테이블코인, DX CBDC //한국은행은 중앙은행 디지털화폐(CBDC)의 도입을 위한 기반 테스트로 ‘프로젝트 한강’을 추진하고 있다. 이 프로젝트는 국민은행, 신한은행, 우리은행, 하나은행, 기업은행, 농협은행, 부산은행 등 주요 7개 시중은행이 ‘혁신금융서비스’로 지정돼 참여 중이다.한국은행 등 업계에 따르면 해당 시스템은 LG CNS가 주도적으로 구축했으며, 분산원장기술(DLT, Distributed Ledger Technology) 기반으로 설계됐다. 현재는 시스템 구축이 완료돼 데모 환경에서 실제 사용자와 환경을 대상으로 테스트가 진행 중이다.업계 관계자는 “LG CNS가 진행한 시스템 구축은 이미 완료됐으며 현재 테스트를 진행 중”이라며 “법안 통과 속도에 따라 정식 서비스 전환도 이르면 내년에 기대할 수 있다”고 말했다.",'064400
경,삼성전기우,624000 765000 612000 765000,"765,000",↑,"176,000","29.88","169,634","121,706",,'009155
신,LG이노텍,1172000 1474000 1145000 1474000,"1,474,000",↑,"340,000","29.98","2,839,913","3,796,569","아이폰17, 기본 모델 수요 폭발…애플도 ""생산량 늘린다"" [클릭 e종목]""LG이노텍, 아이폰 판매 호조로 5년만의 증익 전망"" 고의영 iM증권 연구원은 ""아이폰17 시리즈 초기 반응이 예상보다 긍정적이며, 특히 기본 모델 수요가 견조하다""며 ""120Hz 주사율 도입과 기본 용량 확대(128GB→256GB)가 판매 호조의 주요 배경""이라고 말했다. 아이폰 카메라 가변조리개 탑재도 호재다. 2022년부터 3년간 아이폰 후면 카메라 업그레이드가 화소수(12MP→48MP) 상향에 집중되면서 이미지센서 가격 인상으로 이어졌고 이는 수익성에 악영향을 미쳐왔다. 그러나 내년에는 화소수 상향이 멈추고 메인 카메라에 가변조리개가 탑재될 전망이다.",'011070
신,LG,121800 149700 118600 145200,"145,200",▲,"29,400","25.39","11,270,631","1,549,629",,'003550
증,솔루스첨단소재,9490 12090 8880 11500,"11,500",▲,"2,200","23.66","4,966,298","54,395","“테슬라가 한국 동박 찾는다”…솔루스첨단소재, 북미 유일 전지박 공장 건설로 美 공급망 선점 솔루스첨단소재는 북미 지역에서 유일하게 전지박 공장을 직접 건설 중이다. 캐나다 퀘벡주 그랜비(Granby)에 위치한 이 공장은 내년 하반기 완공 예정이다. 완공 시 북미 최초의 전지박 양산 거점이 된다. 완공 이후에는 미국·멕시코·캐나다 자유무역협정(USMCA)에 따른 무관세 혜택을 적용받을 수 있다.솔루스첨단소재는 이미 유럽 헝가리에 전지박 공장을 운영 중이며, 이번 캐나다 공장 완공을 통해 글로벌 생산 거점을 '유럽?북미' 체계로 확장하고 있다. 헝가리 공장은 1~2일 내 공급이 가능한 지역 생산망을 구축하고 있고, 캐나다 공장은 북미 내 완성차 및 배터리 공장과 연계된 공급 허브로 기능할 예정이다.  솔루스첨단소재, 실리콘 음극재 맞춤형 전지박 개발 나선다",'336370
신,현대오토에버,740000 958000 740000 916000,"916,000",▲,"170,000","22.79","2,395,139","2,069,991","'1. 한 줄 정리 ""현대차그룹의 SDV(소프트웨어 중심 자동차) 전환과 로봇·스마트팩토리 확장의 핵심이자 실질적인 수혜주""  2. 주요 재료 및 투자 포인트 로봇 및 스마트팩토리 (최근 핵심): 미국 트럼프 행정부 및 한국 정부의 로봇 산업 육성 정책과 맞물려, 현대차그룹의 로봇·공장 자동화 시스템(제어, 관제 SW)을 담당하는 점이 부각되고 있습니다.  SDV (Software Defined Vehicle): 현대차그룹이 차량을 소프트웨어 중심으로 대전환함에 따라 차량용 OS(운영체제)와 미들웨어 매출 증가가 구조적으로 담보된 기업입니다.  자율주행 및 디지털 트윈: 자율주행에 필수적인 정밀지도(HD Map) 기술과 가상 환경에서 차량/공장을 검증하는 '디지털 트윈' 기술을 보유하여 AI 및 자율주행 이슈 발생 시 주가가 반응합니다.  엔비디아(NVIDIA) 협력: 현대차그룹과 엔비디아의 협력 강화 소식이 들릴 때마다 AI 및 차량용 컴퓨팅 관련 수혜 기대감으로 연동되는 경향이 있습니다.     GPU 5만장 확보한 현대차 ‘피지컬 AI’ 혁신 시동 현대차그룹은 GPU를 기반으로 자율주행차, 로보틱스, 스마트공장을 통합하는 ‘AI 팩토리’를 구축할 계획이다. 차량 내 AI 고도화, 공정 효율화, 로봇 학습을 동시에 수행하는 시스템을 조성한다.현대차그룹은 엔비디아와 함께 약 30억 달러(약 4조3000억원)를 투자해 엔비디아 AI 기술센터, 현대차 피지컬 AI 애플리케이션 센터, 피지컬 AI 데이터센터 등 3대 거점을 국내에 설립할 예정이다.  보스턴다이내믹스 유통·AS 사업 맡는다… “그룹 지배구조 영향력↑”",'307950
신,NHN,41050 53900 40400 52300,"52,300",▲,"10,750","25.87","1,819,562","89,856"," 특히 네이버클라우드, KT클라우드, NHN클라우드 등 주요 3사가 차세대 AI 데이터센터를 경기, 충청, 전라권에 분산 구축 중이다. 올해 말까지 GPU 서버만 3만 대 이상 증설될 예정으로, 이는 국내 AI 스타트업과 중소기업들에게도 저렴한 연산 리소스를 제공할 수 있는 기반이 된다.",'181710
펀,TIGER LG그룹플러스,14910 17000 14380 17000,"17,000",▲,"3,090","22.21","5,830,813","91,680",,'138530
신,LG전자우,85700 98800 84100 95700,"95,700",▲,"17,200","21.91","2,445,106","228,007",,'066575
