분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
,한솔테크닉스,11860 15340 11520 15340,"15,340",↑,"3,540","30.00","5,806,039","81,221",,'004710
증,대원전선우,12680 15700 12270 15700,"15,700",↑,"3,620","29.97","2,870,897","42,980",,'006345
신,가온전선,300000 341000 267500 341000,"341,000",↑,"78,500","29.90","742,739","228,235","'(25.10.27)가온전선, 전력 인프라 성장세 가속…LS전선 낙수효과 겹쳤다 가온전선의 북미 매출은 2021년 169억 원에서 2023년 664억 원으로 3년 새 4배 가까이 증가했다.지난해에는 미국 노스캐롤라이나주 타보로(Tarboro)에 위치한 배전 케이블 생산법인 LSCUS 지분 100%를 인수하며, 현지 전력망 현대화 프로젝트에 직접 대응할 수 있는 생산 거점을 확보했다.또 회사는 LS전선과의 기술 협력을 통해 해저 케이블 내부망 시장 진출도 추진하고 있다. 이는 LS전선이 주력으로 공급하는 초고압 해저케이블과 달리, 단지 내부의 전력 흐름을 제어하는 '해상 풍력단지 내 연결망' 영역으로, 가온전선이 강점을 지닌 중저압 기술이 요구되는 분야다.  해저케이블/전선/태양광",'000500
신,JW신약,1813 2335 1811 2335,"2,335",↑,"537","29.87","43,883,180","95,133","(22.01.05)[특징주]JW신약, 이재명 탈모 치료 정책 수혜…탈모치료제 판매 '부각' (25.05.29)JW신약, 탈모치료제 포트폴리오 강화…‘마이딜 5% 폼 에어로졸’ 출시",'067290
증,효성화학,51900 67400 50000 67400,"67,400",↑,"15,500","29.87","361,666","22,584",사업부 매각,'298000
,디앤디파마텍,90200 116600 89700 108200,"108,200",▲,"16,600","18.12","10,974,667","1,168,314","(25.10.29)디앤디파마텍, 1주당 3주 배정 무상증자 결정 (25.10.27)디앤디파마텍 ""MASH 신약 2상결과 美학회서 구두발표"" 디앤디파마텍이 미국에서 임상 진행 중인 MASH(대사이상 관련 지방간염) 치료제 'DD01'의 임상 2상 1차 평가지표 및 12~24주 투약 결과가 미국간학회(AASLD)에서 'Late-Breaking Abstract' 구두발표로 선정됐다고 27일 밝혔다.발표 책임 저자는 MASH 및 간질환 분야의 세계적 권위자이자 DD01 임상2상 시험의 주요 책임자를 맡고 있는 메이즌 누레딘 교수다. 연구 결과의 구체적인 내용은 학회 공식 발표 시점에 맞춰 공개될 예정이다.  경구용 의약품 개발 플랫폼 디앤디파마텍 ""MASH 신약 2상결과 美학회서 구두발표"" 디앤디파마텍이 미국에서 임상 진행 중인 MASH(대사이상 관련 지방간염) 치료제 'DD01'의 임상 2상 1차 평가지표 및 12~24주 투약 결과가 미국간학회(AASLD)에서 'Late-Breaking Abstract' 구두발표로 선정됐다고 27일 밝혔다.발표 책임 저자는 MASH 및 간질환 분야의 세계적 권위자이자 DD01 임상2상 시험의 주요 책임자를 맡고 있는 메이즌 누레딘 교수다. 연구 결과의 구체적인 내용은 학회 공식 발표 시점에 맞춰 공개될 예정이다.",'347850
신,포스코스틸리온,5760 7090 5760 6580,"6,580",▲,"970","17.29","16,709,573","110,186",'재건주/중국철관세 수혜주/이차전지 사업은 무관하다.,'058430
증,젠큐릭스,2300 2990 2210 2690,"2,690",▲,"390","16.96","6,627,183","18,715","'유방암키트/폐암키트/액체생검/코로나키트  (26.02.24)[특징주] 젠큐릭스, 현대ADM 공동 연구 부각에 상한가 마감 현대ADM바이오는 최근 췌장암 환자 유래 오가노이드(PDO) 유전자 분석을 통해 항암제 내성이 암세포 자체의 돌연변이가 아니라 종양 미세환경의 물리적 장벽에 의해 발생하는 ‘가짜 내성(Pseudo-resistance)’이라는 점을 세계 최초로 규명했다고 밝힌 바 있다. 연구는 씨앤팜·현대바이오·현대ADM으로 구성된 신약개발팀과 오가노이드사이언스, 젠큐릭스가 공동으로 수행했다.젠큐릭스는 해당 연구에서 내성 암 조직의 유전자 변이 및 종양 미세환경 관련 분자 분석을 담당하며, 약물 침투를 저해하는 기질(Stroma)과 세포외기질(ECM) 장벽의 유전적 특성을 정밀 규명하는 데 기여한 것으로 알려졌다. 고감도 디지털 PCR 기반 분자진단 기술이 신약 개발 과정에서 핵심 데이터 생산 역할을 했다는 평가다.",'229000
신,예스티,28900 37250 28150 36150,"36,150",▲,"7,250","25.09","3,431,761","116,654",,'122640
증,KBI메탈,4795 6050 4720 5530,"5,530",▲,"780","16.42","17,887,491","99,681","전선용 소재, 자동차 및 산업용 부품 소재를 주력으로 생산하는 기업으로, 주요 재료는 **구리(Copper)**와 **알루미늄(Aluminum)**입니다. 이 원재료들을 가공하여 다양한 형태의 제품을 만들어내고 있습니다.",'024840
신,와이지-원,17880 21200 17760 20300,"20,300",▲,"2,420","13.53","1,740,177","34,932",,'019210
신,위더스제약,7200 9270 7200 8220,"8,220",▲,"860","11.68","6,038,879","51,951",탈모 주사치료제 이재명 탈모 공약 수혜,'330350
증,유니슨,981 1148 965 1083,"1,083",▲,"110","11.31","15,574,819","16,601","'정부 공공 주도 해상풍력 사업 본격화에 따른 국산 터빈 수혜 기대감, 상반기 실적 반등 모멘텀, 정책 수혜 부각하여 주가 15~18% 급등.2025/09/02 19:09",'018000
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
