분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
신,에브리봇,11300 14520 11190 14520,"14,520",↑,"3,350","29.99","1,575,974","22,077","에브리봇, AI 자율주행 모듈 양산으로 하반기 실적 반등-하나 한유건 하나증권 연구원은 “상반기 대비 하반기 실적 턴어라운드는 AI 자율주행 모듈의 공급 확대 요인이 가장 큰 역할을 하겠지만, 기존 청소 로봇의 판매량 또한 증가 추세로 전환했다”며 “신제품 효과를 고려하면 내년 서비스로봇 시장 내 점유율 회복과 외형 성장 역시 충분히 기대해볼 만하다”고 말했다. 최근엔 AI프로세싱 핵심모듈 공동개발을 통한 미래 모빌리티 플랫폼으로 경쟁력을 확보하기 위해 ‘라이트하우스(총 사업비 108억원)’ 국책 과제에 참여하는 등 활동적인 R&D 사업을 전개 중이다. 한 연구원은 에브리봇이 Lidar, 적외선 센서, 카메라 기반의 객체 인식 AI 기술 등 자체 기술 내재화에 성공했다고 평가했다. 이를 바탕으로 SK인텔릭스에 AI웰니스로봇 ‘나무엑스’에 AI 자율주행 모듈 공급이 본격적으로 확대될 것으로 예상했다.",'270660
주,금호건설,9130 11190 7320 11190,"11,190",↑,"2,580","29.97","31,996,450","311,949",,'002990
증,미래산업,47000 60300 46450 60300,"60,300",↑,"13,900","29.96","600,056","34,786","반도체검사장비_창신반도체, sk하닉, 인피니언 납품",'025560
주,동양파일,3365 4800 3365 4800,"4,800",↑,"1,105","29.91","3,680,125","15,405",,'228340
증,삼화전자,2500 3195 2445 3195,"3,195",↑,"735","29.88","6,366,953","18,888",,'011230
증,한성크린텍,2050 2485 2000 2485,"2,485",↑,"571","29.83","14,556,137","34,928","'한성크린텍 ""삼성전자 초순수 시스템 수주 확보…AI반도체 투자 확대 수혜 기대"" 한성크린텍이 삼성이앤에이가 발주한 ‘삼성전자 평택반도체공장 P4 Ph4 초순수 복합동 설비공사’ 약 112억 원, 그린동 기계·배관 설치공사 약 68억 원을 수주했다고 밝혔다.회사 측은 삼성전자는 P4 Ph4 공사금액을 증액했고, 5공장에 대한 착공 채비를 갖추며 고대역폭 메모리(HBM) 생산확대에 대비하고 있다고 전했다.  초순수/반도체,디스플레이 필요시설2025/05/07 20:55",'066980
신,위메이드,17300 22400 17300 22400,"22,400",↑,"5,140","29.78","1,188,649","24,343",,'112040
신,케이씨텍,94800 117700 91600 112300,"112,300",▲,"21,400","23.54","1,481,961","163,201","(24.02.28)[특징주] 케이씨텍, 삼성전자 후면전력공급 내년 첫 상용화… 국내 유일 CMP 보유 부각 (25.07.30)삼성전자, 테슬라 AI6 수주 넘어 하이브리드 본딩까지...“CMP 핵심 요소 부상” 업계 전문가들은 “2나노 공정과 같은 초미세 공정에서 이미 CMP가 수율의 핵심 변수로 부상했다”라며 “하이브리드 본딩과 같이 3D 패키징 기술로 진화할수록 CMP 공정의 평탄도·균일성·결함 제어 기술이 더욱 절대적으로 중요해질 것”이라고 입을 모았다.최근 삼성전자는 2025년 8월부터 2033년 말까지 약 22조 원 규모로 테슬라의 6세대 AI 칩 AI6을 수탁 생산하는 대규모 계약을 체결했다. 해당 칩은 삼성의 2나노 GAA(Gate-All-Around) 공정을 적용한 첫 대형 상용 칩이 될 전망이며, 미국 테일러 파운드리에서 생산된다.",'281820
,비나텍,84300 108300 80900 101800,"101,800",▲,"18,400","22.06","414,929","39,674","비나텍, 대만 ACBEL과 106억7655만원 슈퍼커퍼시터 공급계약 비나텍은 23일 ACBEL POLYTECH INC와 106억7655만원 규모의 데이터센터 비상전원용 슈퍼커퍼시터(에너지 저장장치) 공급계약을 체결했다고 공시했다. 이번 계약 금액은 최근 매출액 대비 17.92%에 해당하는 규모다.  [GAM] 블룸 에너지 신고점 ① 연료전지 시장의 '오라클 효과' (25.05.22)비나텍, 블룸에너지에 AI 데이터센터용 슈퍼커패시터 장기공급 비나텍은 블룸에너지의 차세대 SOFC 시스템에 자사의 고성능 슈퍼커패시터를 독점 공급하게 된다.  (25.08.19)비나텍, AI 데이터센터 수혜 기대로 재평가 DS투자증권은 내년에 비나텍 매출액 1307억원, 영업이익 154억원을 달성할 것으로 추정했다. 올해 예상치보다 각각 61.4%, 835.7% 늘어난 규모다. 슈퍼커패시터 매출액이 60% 이상 늘면서 전체 외형 성장을 이끌 것으로 내다봤다. 안 연구원은 ""슈퍼커패시터는 미국 데이터센터향 신규 매출액이 300억원 발생하고 기존 중국과 유럽 스마트미터로도 매출액이 늘어날 것""이라고 분석했다.",'126340
신,가온전선,200000 247500 200000 231000,"231,000",▲,"40,400","21.20","1,431,305","329,772","'(25.10.27)가온전선, 전력 인프라 성장세 가속…LS전선 낙수효과 겹쳤다 가온전선의 북미 매출은 2021년 169억 원에서 2023년 664억 원으로 3년 새 4배 가까이 증가했다.지난해에는 미국 노스캐롤라이나주 타보로(Tarboro)에 위치한 배전 케이블 생산법인 LSCUS 지분 100%를 인수하며, 현지 전력망 현대화 프로젝트에 직접 대응할 수 있는 생산 거점을 확보했다.또 회사는 LS전선과의 기술 협력을 통해 해저 케이블 내부망 시장 진출도 추진하고 있다. 이는 LS전선이 주력으로 공급하는 초고압 해저케이블과 달리, 단지 내부의 전력 흐름을 제어하는 '해상 풍력단지 내 연결망' 영역으로, 가온전선이 강점을 지닌 중저압 기술이 요구되는 분야다.  해저케이블/전선/태양광",'000500
