분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
주,타이거일렉,51200 63400 51200 63400,"63,400",↑,"14,600","29.92","314,505","19,271","HBM용 초고층 테스트 기판 시장 선도 타이거일렉은 AI 반도체의 핵심인 HBM(고대역폭메모리) 수요 급증에 따라 기술적 해자가 높은 초고다층 프로브카드 PCB(인쇄회로기판) 공급 확대로 성장이 기대되는 기업입니다.  주요 재료 상세 분석:  HBM용 프로브카드 PCB: 반도체 웨이퍼의 불량을 검사하는 '프로브카드'에 들어가는 핵심 부품인 PCB를 생산합니다. 특히 HBM용 프로브카드 PCB는 120층 이상의 초고다층 기술력을 요구하는 고부가가치 제품으로, AI 시장 성장에 따른 HBM 생산량 증가가 타이거일렉의 직접적인 수혜로 이어집니다.  글로벌 1위 고객사 확보: 최근 세계 1, 2위 프로브카드 제조사인 미국의 '폼팩터(FormFactor)'와 유럽의 '테크노프로브(Technoprobe)'와 공급 계약을 체결했습니다. 이는 국내 PCB 업계 최초의 성과로, 글로벌 시장에서 기술력을 인정받고 안정적인 공급처를 확보했다는 점에서 중요한 의미를 가집니다.  최종 고객사: 폼팩터, 테크노프로브 등을 통해 삼성전자, SK하이닉스, 마이크론 등 글로벌 메모리 반도체 기업에 최종적으로 제품을 공급하는 구조를 갖추고 있습니다.  인쇄회로기판(PCB) 전문 업체 타이거일렉 이 글로벌 유수 기업과 공급 계약을 했다. 대상은 미국의 폼팩터(FormFactor)와 인텔(Intel), 유럽의 테크노프로브(Technoprobe) 등 3사다. 특히 폼팩터와 테크노프로브와의 공급 계약은 국내 업계 최초다.",'219130
신,대원강업,4700 6000 4700 6000,"6,000",↑,"1,380","29.87","4,410,542","23,970",'우크라이나 재건/ EV 구동모터,'000430
신,브이엠,63500 77700 63000 77000,"77,000",▲,"16,700","27.69","1,895,134","138,309","(25.09.04)[특징주]SK하이닉스 동행 브이엠, 실적 개선 기대감에 신고가 앞서 브이엠은 지난달 SK하이닉스와 90억원 규모의 반도체 제조 장비 단일판매·공급계약을 체결했다. 브이엠은 국내 유일 에칭(식각) 장비 업체다. 박 연구원은 ""회사는 최근 2년간 주 고객사의 투자 축소 영향으로 영업적자를 기록했으나, 2025년 상반기부터 SK하이닉스의 범용 디램 캐파 투자 증가로 인한 실적 개선이 기대된다""며 ""2025년 4분기부터 M15X향 장비 매출이 본격적으로 인식되면서 가파른 실적 성장을 보여줄 것""으로 내다봤다.",'089970
신,싸이맥스,35650 44850 35600 43450,"43,450",▲,"8,600","24.68","1,092,132","44,785",,'160980
신,테스,138200 167500 138200 162100,"162,100",▲,"30,600","23.27","1,696,353","263,280","'sic전력반도체용 핵심 장비   [특징주] 테스 급등, “유럽·일본 독점 깼다” SiC 전력반도체용 핵심 장비 첫 국산화 성공 11일 테스는 SiC 전력반도체의 필수 공정인 에피택시 성장을 위한 고온 화학기상증착(HTCVD) 장비 '트리온(TRION)'을 상용화하고, 본격 양산 출시에 들어간다고 밝혔다. TRION은 SiC 웨이퍼 표면에 고온에서 결정 구조를 정밀하게 쌓아주는 에피 공정 전용 장비로 두께와 도핑 농도(불순물 투입)를 정밀하게 제어할 수 있는 것이 강점이다. 실리콘카바이드 전력반도체 핵심 공정 장비는 지금까지 유럽과 일본 업체들이 사실상 독점해온 고난도 분야로, 국내 기업이 국산화에 성공한 것은 이번이 처음이다. 테스는 이 장비를 오는 14일 부산 벡스코에서 열리는 세계 최대 탄화규소 학술대회 ICSCRM 2025에서 공개할 예정이다.  ""테스, DRAM 신규 투자 본격화 기대"" - CTT 리서치 ""테스는 웨이퍼 후면 박막 증착 장비인 BSD PECVD를 상반기부터 SK하이닉스으로 공급했으며, 현재 낸드 및 파운드리 고객사와 품질 테스트를 진행 중이다""고 전했다. 이어 ""이르면 연내 테스트를 마치고 양산 매출이 발생할 수 있을 것으로 기대된다""고 덧붙였다. Low-K PECVD 장비 역시 4분기부터 매출 반영이 시작돼 신규 장비 기여도가 확대될 것으로 전망했다. CTT리서치는 ""신규 장비(BSD 및 Low-K)의 매출 증가와 해외 고객사 매출 증가로 영업이익률(OPM)이 점진적으로 높아지고 있다""며 ""12개월 선행 주가수익비율(PER) 9.6배 수준은 저평가 구간으로 판단된다""고 진단했다.  테스, SK하이닉스·삼성전자 투자 확대 수혜 기대 - 한화투자증권 4분기부터는 SK하이닉스 M15X 투자가 본격화되고 삼성전자 P4 투자 효과가 지속되면서 매출액 891억 원, 영업이익 192억 원으로 각각 전분기대비 21%, 90% 증가하며 실적이 크게 개선될 것으로 기대된다. 특히 SK하이닉스향 수주가 최근 두 차례에 걸쳐 총 343억 원 규모로 공시되며 투자 확대에 대한 기대감을 높이고 있다. 한화투자증권은 테스가 주요 고객사의 투자 확대와 신규 장비 매출 기여로 2024년 4분기부터 강력한 이익 성장 구간에 진입했으며, 이 추세가 2026년까지 이어질 것으로 전망한다. (25.09.12)[특징주] 테스 급등, “유럽·일본 독점 깼다” SiC 전력반도체용 핵심 장비 첫 국산화 성공 11일 테스는 SiC 전력반도체의 필수 공정인 에피택시 성장을 위한 고온 화학기상증착(HTCVD) 장비 '트리온(TRION)'을 상용화하고, 본격 양산 출시에 들어간다고 밝혔다. TRION은 SiC 웨이퍼 표면에 고온에서 결정 구조를 정밀하게 쌓아주는 에피 공정 전용 장비로 두께와 도핑 농도(불순물 투입)를 정밀하게 제어할 수 있는 것이 강점이다. 실리콘카바이드 전력반도체 핵심 공정 장비는 지금까지 유럽과 일본 업체들이 사실상 독점해온 고난도 분야로, 국내 기업이 국산화에 성공한 것은 이번이 처음이다. 테스는 이 장비를 오는 14일 부산 벡스코에서 열리는 세계 최대 탄화규소 학술대회 ICSCRM 2025에서 공개할 예정이다.2025/09/15 17:35",'095610
신,테크윙,51500 64100 50700 59700,"59,700",▲,"10,350","20.97","9,721,026","598,146","테크윙, HBM 검사장비 SK하이닉스 공급 소식에 주목 테크윙은 자체 개발한 HBM(고대역폭메모리) 검사장비 '큐브 프로버(Cube Prober)'가 삼성전자에 이어 SK하이닉스의 성능 평가를 통과하며 공급 기대를 받고 있습니다. 이는 HBM 시장의 본격적인 성장에 발맞춰 글로벌 메모리 반도체 제조사의 기술 요구를 충족했다는 점에서 큰 의미를 가집니다.  HBM용 큐브프로버 개발  (25.09.15)테크윙, 삼성전자 이어 HBM 검사장비 SK하이닉스도 성능평가 통과 테크윙은 SK하이닉스로부터 자사의 HBM 전용 검사장비 큐브 프로버(Cube Prober)의 성능평가를 통과했다고 밝혔다.테크윙 큐브 프로버는 현재 삼성전자에 공급되고 있으며, 미국 마이크론에도 퀄테스트를 목적으로 장비가 공급돼 퀄테스트가 진행 중이다. 마이크론에 공급된 큐브 프로버 테스트 장비는 삼성전자와 SK하이닉스에서 이미 성능 평가 통과를 완료했기 때문에 테스트 기간은 길지 않을 것으로 예상되며, 4분기 중 테스트 결과가 나올 것으로 전망된다.",'089030
신,HPSP,49300 59300 49100 57000,"57,000",▲,"9,850","20.89","10,985,131","619,279",'반도체장비(고압 수소 어닐링 장비) /  HPSP·가온칩스 등 온디바이스 AI 관련주 강세...출하량 10배증가,'403870
신,고영,28500 35900 28500 33450,"33,450",▲,"5,650","20.32","6,993,117","232,278",'자회사 뇌수술 의료기기 fda/ 반도체&Mini/Micro-LED 패키징 전용 프리미엄 3D SPI 솔루션은 독자적 광학 시스템을 이용한 투명제 Flux 검사가 가능한 제품이다.,'098460
신,후성,11450 14130 11310 13980,"13,980",▲,"2,730","24.27","21,673,991","287,671","전해질염 LiPF6를 국내 유일하게 생산하고 있는 기업이다. LiPF6은 제조와 취급의 위험성, 제조 공정의 까다로운 반응 조건, 금속 성분 및 수의 관리에 있어 고도화된 정제 기술 노하우가 필요하다. 현재 후성은 국내 울산공장과 중국 공장에서 생산을 하고 있다.  (24.09.12)[클릭 e종목]""후성, 2026년 실적 개선 전망"" 후성은 2차전지 전해액염 중에서 LiPF6(육불화인산리튬)를 국내에서 유일하게 생산하고 있으며, LiBF4 등 전해질 첨가제도 제조 및 판매하고 있다. 주요 제품은 국내 울산공장과 중국공장에서 생산하고 있다. (23.07.03)후성, ‘반도체→이차전지’ 다각화 속도…높아진 투자 부담[소부장 슈퍼을] 후성은 불화수소(HF) 기술을 바탕으로 국내 반도체용 특수가스 시장을 원익머트리얼즈, SK스페셜티 등 일부 기업과 과점하고 있다. 반도체용 특수가스 시장이 공정 미세화 흐름에 더해 주요 고객사인 삼성전자, SK하이닉스의 투자 확대 흐름을 타고 성장하는 가운데 후성은 고도의 신뢰도와 품질수준을 갖춘 제품을 앞세워 공급망 내 높은 점유율을 지켜왔다.후성의 대표 제품은 육불화부타디안(C4F6)과 육불화텅스텐(WF6)이다. C4F6를 비롯한 불화탄소(CF)계 가스는 주로 반도체 식각(에칭)공정에 사용되는데, 다른 가스와 비교해 수익성은 낮지만, 전체 공정 가스 중 90%를 차지할 정도로 사용빈도가 높다.  (25.09.15)[특징주] 후성, “냉매·특수가스 수요 급증”에 리튬염 독점 생산 부각되며 매출 확대 전망 후성은 이차전지 전해액의 핵심 소재인 리튬염(LiPF6)을 생산하는 국내 유일 업체로 가전용·산업용에 쓰이는 냉매, 반도체 에칭 및 증착에 쓰이는 특수 가스 등을 주력으로 영위하고 있다.",'093370
증,에이팩트,8780 10660 8370 9880,"9,880",▲,"1,630","19.76","3,657,085","35,260","반도체 테스트, 패키징 CRO (25.09.19)[클릭 e종목]""에이팩트, 소캠2를 통한 기회"" 오현진 키움증권 연구원은 ""소캠2는 소캠1과 달리 국내 주요 종합반도체(IDM) 업체에 공급 기회 요인이 커진 것으로 파악한다""며 ""에이팩트는 국내 주요 IDM과 후공정 외주 파트너십을 강화하고 있다""고 설명했다.이어 ""앞으로 국내 IDM 업체의 소캠2 공급이 가시화되면 관련 협업 가능성 또한 크다""며 ""소캠2 관련 에이팩트 기대할 수 있는 매출은 실장 및 번인 테스트, LPDDR 패키징 등""이라고 덧붙였다.",'200470
