분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
신,비에이치아이,63700 80600 60300 69100,"69,100",▲,"7,100","11.45","2,053,197","139,100",'CASK 분야에서 긴밀한 기술 협력 체계를 구축 중/ 액화천연가스(LNG) 복합화력발전 배열회수보일러(HRSG) 공급 // 비에이치아이는 이날 두산에너빌리티와 약 1221억원 규모의 액화천연가스(LNG) 복합화력발전 배열회수보일러(HRSG) 공급계약을 체결했다.,'083650
신,HL만도,52000 65000 51900 65000,"65,000",↑,"15,000","30.00","2,969,052","186,429","'●HL만도 (+9.87%)(1104) / 디아이씨 (+5.17%)(1394) (25.11.25)[클릭 e종목]""HL만도, 로봇산업 역할 확대…목표가 상향"" 삼성證 ""HL만도, 로봇 엑추에이터 사업 확장…목표주가 상향"" 김현지 삼성증권 연구원은 1일 ""HL만도는 통합전자제동장치(IDB) 납품 레퍼런스를 기반으로 로봇 액추에이터 사업 확장에 나설 계획""이라며 실적 추정치를 상향했다.김 연구원은 ""액추에이터 가격은 미국의 희토류 가격 하한선 설정으로 하방 경직성을 확보했다""며 ""로봇 액추에이터에는 3~4kg의 희토류 자석이 필수적으로 포함된다""고 설명했다. 이어 ""미국은 희토류 내재화 프로젝트를 추진 중인데, 이 프로젝트의 핵심기업인 MP머티리얼즈의 모든 제품에 대해 향후 10년간 현재 시세 대비 1.5~2배의 가격 하한선을 설정했다""고 말했다.이 영향으로 HL만도의 엑츄에이터 사업도 긍정적 영향을 받을 것이라는 게 삼성증권의 전망이다.",'204320
신,원익IPS,154300 183300 150100 175700,"175,700",▲,"34,700","24.61","8,788,725","1,496,654","원익 IPS의 사업은 크게 반도체, 디스플레이, 태양전지 장비로 나뉩니다. 이 중 매출의 대부분은 반도체 부문에서 발생합니다.  반도체 장비: 반도체 회로를 만드는 전공정, 그중에서도 웨이퍼 위에 얇은 막을 입히는 증착(Deposition) 장비가 주력 제품입니다.  PECVD (플라즈마 화학 기상 증착): 매출의 가장 큰 비중(60-70%)을 차지하며, 3D 낸드플래시를 높이 쌓아 올리는 공정의 핵심 장비입니다.  ALD (원자층 증착): 원자 단위로 매우 얇고 균일한 박막을 증착하는 고난도 기술 장비입니다. 10나노 이하의 미세 공정과 고대역폭 메모리(HBM) 생산에 필수적이며, AI 반도체 시장 성장의 핵심 수혜 기술로 꼽힙니다.  디스플레이 장비: OLED 패널 제조에 필수적인 박막봉지(Encapsulation) 설비와 드라이 에처(Dry Etcher, 건식 식각장비) 등을 공급합니다. 특히 폴더블 디스플레이 시장 확대에 따라 중요성이 부각되고 있습니다.",'240810
신,HPSP,57300 71500 56600 71500,"71,500",↑,"16,500","30.00","16,855,107","1,129,338",'반도체장비(고압 수소 어닐링 장비) /  HPSP·가온칩스 등 온디바이스 AI 관련주 강세...출하량 10배증가,'403870
신,한전기술,125000 151300 118700 133600,"133,600",▲,"17,200","14.78","723,088","98,167","'i-SMR 등 경수로 기반의 SMR 모델을 개발//  정혜정 연구원은 ""전날 미 SMR 설계업체 오클로가 미 국방부로부터 알래스카 공군 기지에 소형원자로를 설치하는 것에 대한 허가를 받았다는 뉴스가 주가 상승 원인""이라며 ""오클로는 75MW 규모 SMR을 설계, 건설, 소유 및 운영해 공군 기지에 전력을 공급할 예정""이라고 설명했다.정 연구원은 ""한전기술은 현재 스마트, i-SMR 등 경수로 기반의 SMR 모델을 개발 중에 있다""며 ""오는 2028년까지 표준설계승인을 획득하고 2035년까지 국내를 중심으로 상업용 SMR 도입을 목표로 하고 있다""고 설명했다.",'052690
증,세미티에스,4100 5030 4015 5030,"5,030",↑,"1,160","29.97","12,681,239","56,890",,'0017J0
,우리기술,14130 17570 13700 17570,"17,570",↑,"4,050","29.96","6,222,753","93,542","'[단독] 아마존, 두산에너빌리티 원전 기술력 점검...창원공장 차세대 SMR 실사 AWS에 따르면 패트릭 레너드 에너지 전략 책임자를 포함한 AWS 관계자들은 최근 두산에너빌리티의 경남 창원 공장을 방문했다. 두산에너빌리티가 핵심 기자재를 납품하는 엑스에너지의 차세대 SMR 'Xe-100' 시제품을 확인하고, 두산이 보유한 풍력·증기·가스터빈 등 원전 기자재 제조 역량을 점검했다.두산에너빌리티 관계자는 ""AWS가 앞으로 엑스에너지 SMR로부터 전기를 구매할 예정""이라며 ""그에 앞서 두산에너빌리티를 방문해 제작 역량과 케파를 점검한 차원""이라고 밝혔다.   국내 유일 해상풍력 하부설치선 확보  감시·경보·제어시스템을 독자 기술로 개발해 공급하고 있다.2025/05/16 22:58 MMIS·계측제어 국산화, 해체 단계 설비감시 시스템 납품.",'032820
신,한전KPS,49800 63900 49400 53800,"53,800",▲,"4,500","9.13","945,477","51,267","원자력 정비, SMR 테마 & 해체",'051600
신,파크시스템스,274500 339500 245000 279500,"279,500",▲,"15,500","5.87","209,658","56,741",,'140860
신,현대건설,130700 157500 128500 142700,"142,700",▲,"20,000","16.30","3,558,734","493,899","고리 1호기 철거 공정 턴키 입찰 준비, 원전 Civils 해체 노하우.  현대건설, 1.3조원 규모 국내 최대 '용인 죽전 데이터센터' 완공 현대건설 불가리아 원전 파트너 건설사, 한국 찾아 진행 상황 논의 (25.10.21)현대건설, 본격적인 글로벌 원전 시장 진출 코앞…'매수'-한화 송 연구원은 “이제는 본격적인 글로벌 시장 진출을 코앞에 앞두고 있다. 6개월 내에 미국 대형원전 진출, 홀텍 SMR 착공, 불가리아 원전 계약 등이 기대된다”면서 “동사의 2025~2026년 영업이익 추정치는 컨센서스 피크 대비 각각 39%, 33% 낮아졌으며 주가 또한 9월말 기준 피크대비 -36%의 조정이 이뤄졌다. 이제는 오롯이 원전 모멘텀에 집중할 수 있는 구간에 들어섰다고 판단한다”고 덧붙였다.",'000720
신,솔브레인,369000 461500 357500 431000,"431,000",▲,"76,000","21.41","593,392","256,529","(25.11.14)메리츠증권 ""솔브레인, 가동률 상승에 힘입은 안정적인 성장세"" (25.02.03)솔브레인 자회사 디엔에프, '하프튬 프리커서' 출격대기 디엔에프는 매출 다변화를 위해 프리커서 외에도 드라이 포터레지스트(PR) 등을 개발 중이다.업계 관계자는 '드라이 PR의 경우 프리커서 등 증착 소재와 공정 프로세스가 유사하다'며 '화학적증착(CVD) 방식을 통해 웨이퍼 박막을 형성한다'고 설명했다. 이어 '디엔에프는 프리커서 등 개발을 통해 관련 노하우가 있어 미래 먹거리를 드라이 PR을 선정하고 제품 R&D를 진행 중인 것으로 알고 있다'""고 부언했다",'357780
신,한미반도체,320000 372500 298000 341000,"341,000",▲,"50,000","17.18","10,490,743","3,581,059","'AI 반도체 시대, HBM 후공정 장비의 글로벌 핵심 공급사  AI 시장 개화에 따른 HBM(고대역폭메모리) 수요 급증의 최대 수혜주로 꼽히는 후공정 장비 기업입니다. 독보적인 TC 본더 기술력을 바탕으로 창사 이래 최대 실적을 경신하고 있습니다.  주요 재료 및 상세 내용  HBM용 TC 본더 독점력: HBM 생산의 핵심 장비인 TC 본더(열압착 본딩 장비)를 생산하며, SK하이닉스에 이어 마이크론 등 글로벌 고객사를 신규 확보하며 시장 지배력을 강화하고 있습니다.  폭발적인 실적 성장: AI 서버 수요에 힘입어 2024년 창사 이래 최대 실적을 기록했으며, 2025년에도 가파른 성장세를 이어가고 있습니다. HBM4 세대에 대응하는 차세대 장비도 개발 중으로 지속적인 성장이 기대됩니다.  고객사 및 시장 다변화: 기존 SK하이닉스 중심에서 마이크론, TSMC 등으로 고객사를 확대하고 있으며, 미국과 대만 등 글로벌 반도체 클러스터 진출을 가속화하며 안정적인 성장 기반을 마련하고 있습니다.  최근 [특징주] 기사  2025년 5월 16일: 1분기 호실적 발표에 힘입어 장중 12.3% 상승.  기사 제목: [한경유레카 특징주] 한미반도체, 1분기 호실적에 강세 - 한국경제  한미반도체는 반도체 다이를 서로 붙여주는 TSV/TC Bonder 등의 장비를 제조하는 기업이다. 최근 인공지능 연산에 필수적인 고성능 GPU에 동반되는 HBM(High Bandwidth Memory)를 붙여주는 본딩 장비도 제조해서 고객사에 납품 중인 것으로 나타났다  HBM 제조과정 중 실리콘관통전극(TSV) 공정에 필요한 장비 제조분야 국내 1위",'042700
증,아이로보틱스,3515 4390 3515 4195,"4,195",▲,"765","22.30","19,719,586","82,054","""반도체 다음은 로봇""…한·미 정책 수혜 기대에 관련주 '들썩' (25.05.20)와이오엠, '차세대 정밀 감속기' 기술로 글로벌 로보틱스 시장 본격 진출…""게임 체인저 예고"" 와이오엠은 하모닉 드라이브, RV 드라이브, 장구형 웜 감속기 등 정밀 구동 모듈의 3대 핵심 라인업을 보유하고 있다. 전 제품에 질화규소(Si₃N₄) 세라믹 볼베어링 등을 적용해 기존 제품 대비 약 30% 수준의 경량화와 글로벌 대비 40% 수준의 가격 경쟁력 확보를 목표로 하고 있다. (25.08.25)아이로보틱스, 중국 로봇시장 뚫는다…中 SLING사와 협력 계약 체결 아이로보틱스는 중국 부품 제조사 ZHEJIANG SLING AUTOMOBILE BEARING(저장슬링오토모바일베어링, 이하 SLING, 대표 Ling Jiang)과 '하모닉 드라이브' 공동 개발 및 상용화를 위한 협력 계약을 체결했다고 밝혔다. 하모닉 드라이브는 정밀한 움직임이 필수적인 협동로봇 등의 관절에 사용되는 핵심 감속기 부품이다.SLING은 자동차 베어링을 생산하는 전문 부품 제조 기업이다.",'066430
