분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
주,SK네트웍스,9500 14170 9500 14170,"14,170",↑,"3,270","30.00","56,509,514","747,250","휴대폰 정보통신 유통, 통신 인프라, 글로벌 트레이딩, 자동차 관리, 환경가전 렌털, 호텔·리조트, 데이터 비즈니스를 운영하고 있음. 정보통신사업부는 국내 1위 이동통신 유통사업자로 연간 약 400만대 시장을 보유. [2026.05.26] [[특징주] SK네트웍스, ""美 주파수 경매 앞두고 미국 5G 투자 확대"" 수혜...]",'001740
증,아이로보틱스,3380 4270 3380 4270,"4,270",↑,"985","29.98","17,892,902","71,397","""반도체 다음은 로봇""…한·미 정책 수혜 기대에 관련주 '들썩' (25.05.20)와이오엠, '차세대 정밀 감속기' 기술로 글로벌 로보틱스 시장 본격 진출…""게임 체인저 예고"" 와이오엠은 하모닉 드라이브, RV 드라이브, 장구형 웜 감속기 등 정밀 구동 모듈의 3대 핵심 라인업을 보유하고 있다. 전 제품에 질화규소(Si₃N₄) 세라믹 볼베어링 등을 적용해 기존 제품 대비 약 30% 수준의 경량화와 글로벌 대비 40% 수준의 가격 경쟁력 확보를 목표로 하고 있다. (25.08.25)아이로보틱스, 중국 로봇시장 뚫는다…中 SLING사와 협력 계약 체결 아이로보틱스는 중국 부품 제조사 ZHEJIANG SLING AUTOMOBILE BEARING(저장슬링오토모바일베어링, 이하 SLING, 대표 Ling Jiang)과 '하모닉 드라이브' 공동 개발 및 상용화를 위한 협력 계약을 체결했다고 밝혔다. 하모닉 드라이브는 정밀한 움직임이 필수적인 협동로봇 등의 관절에 사용되는 핵심 감속기 부품이다.SLING은 자동차 베어링을 생산하는 전문 부품 제조 기업이다.",'066430
증,팸텍,2045 2710 2035 2710,"2,710",↑,"625","29.98","11,192,834","27,622",,'271830
증,라이콤,5650 7500 5300 6750,"6,750",▲,"840","14.21","15,032,462","102,042",세계에서 가장작은 라이다용 광섬유개발,'388790
신,NAVER,269000 294000 230000 288500,"288,500",▲,"33,000","12.92","23,977,053","6,632,940","[단독]업비트 ‘두나무’, 네이버파이낸셜과 포괄적 주식교환 추진… 네이버 계열사 편입 전망 네이버, 업비트 운영사 '두나무' 네이버파이낸셜 자회사 편입 추진 네이버의 핀테크 자회사 네이버파이낸셜은 두나무를 완전 자회사로 편입하기 위한 포괄적 주식교환을 진행할 방침이다. 포괄적 주식교환은 두 기업이 주식 교환 계약을 체결해 한 회사가 다른 회사의 모든 주식을 취득하고 그 대가로 모회사가 될 회사의 주식을 내주는 방식이다.합병과 달리 자회사가 되는 회사는 법인이 해산되지 않고 완전 자회사 형태로 존속한다. 현재 네이버파이낸셜의 최대주주는 지분 약 75%(전환우선주 포함)를 보유한 네이버며 나머지 지분은 미래에셋금융그룹 계열사가 보유하고 있다.시장에서는 두나무의 기업가치가 네이버파이낸셜보다 크다는 평가가 우세하다. 이에 따라 네이버파이낸셜이 발행해야 할 신주 규모도 상당할 것으로 예상된다. 주식교환이 마무리되면 네이버는 국내 최대 가상자산 거래소와 간편결제 서비스를 동시에 보유하게 되며 두나무는 지배구조 투명성 논란 등 기존 리스크를 해소하고 미래 금융 인프라 구축 등 신사업에 집중할 수 있을 것으로 보인다.네이버 관계자는 ""양사는 스테이블 코인, 비상장주식 거래 외에도 주식 교환을 포함한 다양한 협력을 논의하고 있으나 추가적인 협력사항이나 방식에 대해서는 확정된 바 없다""고 밝혔다.",'035420
증,에이치엠넥스,4585 5850 4575 5370,"5,370",▲,"410","8.27","5,567,483","29,964",,'036170
신,알트,1837 2385 1753 2020,"2,020",▲,"142","7.56","26,365,254","56,159","'알트 (459550) 0. 사업내용 키즈폰, 시니어폰 등 특화된 스마트 모바일 단말기를 자체 브랜드(MIVE)로 제조하여 국내 통신 3사에 공급하는 기업입니다. 이외에도 안드로이드 TV 셋톱박스를 대기업에 공급하며, 최근에는 AI 및 로봇(케어로봇) 신사업으로 영역을 확장하고 있습니다.  1. 핵심 재료 요약 ""키즈/시니어폰의 안정적 매출 기반 위 스팩 합병 상장 이슈 및 AI 로봇 신사업 기대감""  2. 상세 분석 (주가 상승 원인) 스팩 합병 상장 모멘텀: 2025년 11월 17일 코스닥 시장에 상장하며 시장의 주목을 받았습니다. 상장 초기 변동성 완화장치(VI) 미적용 등의 이슈와 함께 수급이 몰리며 급등락을 보였습니다.  저평가 및 고수익성 부각: 상장 직후 PER(주가수익비율) 6배 수준의 저평가 분석과 ROE(자기자본이익률) 77%라는 높은 수익성 지표가 부각되며 매수세가 유입되었습니다.  AI 및 해외 진출 기대감: 국내 대기업과 LLM(거대언어모델) 적용 차세대 AI 셋톱박스 개발 및 미국/일본 시장 진출(법인 설립) 소식이 미래 성장 동력으로 작용했습니다.",'459550
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
