종목명,종목코드,현재가,등락률(%),시장
대양금속,009190,1539,+0.20,KOSPI
대양전기공업,108380,31500,+0.96,KOSDAQ
대영포장,014160,1177,-1.51,KOSPI
대우건설,047040,32150,-8.14,KOSPI
대웅,003090,22400,-0.67,KOSPI
대웅제약,069620,147700,-0.40,KOSPI
대원,007680,4325,-0.23,KOSDAQ
대원강업,000430,4360,-0.11,KOSPI
대원미디어,048910,7650,-0.65,KOSDAQ
대원산업,005710,13710,-0.58,KOSDAQ
대원전선,006340,17350,+15.28,KOSPI
대원전선우,006345,12920,+29.98,KOSPI
대원제약,003220,10540,-1.68,KOSPI
대원화성,024890,906,+0.00,KOSPI
대정화금,120240,13410,-3.39,KOSDAQ
대주산업,003310,3440,-0.43,KOSDAQ
대주전자재료,078600,157500,-0.63,KOSDAQ
대진첨단소재,393970,2825,+0.00,KOSDAQ
대창,012800,1761,+6.73,KOSPI
대창단조,015230,7300,+2.96,KOSPI
대창솔루션,096350,3100,+1.81,KOSDAQ
대창스틸,140520,2300,-1.71,KOSDAQ
대한과학,131220,4745,+0.00,KOSDAQ
대한광통신,010170,17700,+16.83,KOSDAQ
대한뉴팜,054670,6970,-1.97,KOSDAQ
대한방직,001070,6910,-1.29,KOSPI
대한약품,023910,28500,-0.52,KOSDAQ
대한유화,006650,179900,-0.66,KOSPI
대한전선,001440,60700,+7.82,KOSPI
대한제강,084010,12410,-1.97,KOSPI
대한제당,001790,2890,-0.69,KOSPI
대한제당우,001795,2470,-0.20,KOSPI
대한제분,001130,156500,+0.00,KOSPI
대한조선,439260,89500,+0.00,KOSPI
대한항공,003490,24500,-0.20,KOSPI
대한항공우,003495,23550,+0.00,KOSPI
대한해운,005880,2600,+0.19,KOSPI
대한화섬,003830,122600,-1.37,KOSPI
대현,016090,1838,+4.14,KOSPI
대호에이엘,069460,532,+0.00,KOSPI
대호특수강,021040,1337,-2.41,KOSDAQ
대호특수강우,021045,2800,+0.00,KOSDAQ
대화제약,067080,14670,-0.34,KOSDAQ
더네이쳐홀딩스,298540,8090,+1.25,KOSDAQ
더라미,032860,1314,-3.60,KOSDAQ
더본코리아,475560,20850,-0.24,KOSPI
더블유게임즈,192080,61300,+0.33,KOSPI
더블유씨피,393890,19700,+0.92,KOSDAQ
더블유에스아이,299170,2320,-4.72,KOSDAQ
더존비즈온,012510,120000,+0.00,KOSPI
더즌,462860,3665,+1.10,KOSDAQ
더코디,224060,6020,+2.91,KOSDAQ
더테크놀로지,043090,1140,+0.00,KOSDAQ
더핑크퐁컴퍼니,403850,17120,-2.00,KOSDAQ
덕산네오룩스,213420,53000,+4.95,KOSDAQ
덕산테코피아,317330,25100,+4.58,KOSDAQ
덕산하이메탈,077360,19590,+6.70,KOSDAQ
덕성,004830,4805,-3.03,KOSPI
덕성우,004835,6980,+1.75,KOSPI
덕신이피씨,090410,1292,-1.60,KOSDAQ
덕양에너젠,0001A0,19900,+5.74,KOSDAQ
덕우전자,263600,6250,-3.25,KOSDAQ
데브시스터즈,194480,22400,-1.10,KOSDAQ
데이원컴퍼니,373160,4920,-1.80,KOSDAQ
데이타솔루션,263800,5410,+0.74,KOSDAQ
덱스터,206560,2600,-4.06,KOSDAQ
덴티스,261200,3850,-3.02,KOSDAQ
덴티움,145720,52800,-0.94,KOSPI
도우인시스,484120,23100,-0.43,KOSDAQ
도이치모터스,067990,5280,-5.88,KOSDAQ
도화엔지니어링,002150,6940,-2.53,KOSPI
동구바이오제약,006620,5070,-1.55,KOSDAQ
동국S&C,100130,2545,-4.14,KOSDAQ
동국산업,005160,3755,+3.59,KOSDAQ
동국생명과학,303810,3415,-1.30,KOSDAQ
동국씨엠,460850,6690,-2.05,KOSPI
동국알앤에스,075970,2380,-1.24,KOSDAQ
동국제강,460860,14710,-4.42,KOSPI
동국제약,086450,23750,-0.63,KOSDAQ
동국홀딩스,001230,11400,+0.00,KOSPI
동남합성,023450,30900,+2.32,KOSPI
동방,004140,2970,+1.89,KOSPI
동방메디컬,240550,6900,-1.29,KOSDAQ
동방선기,099410,5510,-2.65,KOSDAQ
동방아그로,007590,6140,+1.32,KOSPI
동부건설,005960,9540,-0.93,KOSPI
동부건설우,005965,19850,-0.75,KOSPI
동서,026960,26200,-1.87,KOSPI
동성제약,002210,973,+0.00,KOSPI
동성케미컬,102260,4370,-0.68,KOSPI
동성화인텍,033500,29250,+0.86,KOSDAQ
동신건설,025950,16120,-2.30,KOSDAQ
동아쏘시오홀딩스,000640,98500,+0.61,KOSPI
동아에스티,170900,43600,-1.58,KOSPI
동아엘텍,088130,11240,+1.26,KOSDAQ
동아지질,028100,18520,+2.89,KOSPI
동양,001520,803,-0.12,KOSPI
동양2우B,001527,7490,+0.00,KOSPI
동양고속,084670,37500,-0.79,KOSPI
동양생명,082640,8250,-0.72,KOSPI
동양에스텍,060380,1607,-1.47,KOSDAQ
동양우,001525,4360,-1.13,KOSPI
동양이엔피,079960,35600,+4.71,KOSDAQ
동양파일,228340,2180,-0.23,KOSDAQ
동우팜투테이블,088910,2625,+3.35,KOSDAQ
동운아나텍,094170,48650,-5.35,KOSDAQ
동원개발,013120,2865,+0.00,KOSDAQ
동원금속,018500,1903,+2.09,KOSPI
동원산업,006040,38550,+0.00,KOSPI
동원수산,030720,7620,+8.86,KOSPI
동원시스템즈,014820,27600,-1.78,KOSPI
동원시스템즈우,014825,16700,+0.18,KOSPI
동인기연,111380,14180,-2.21,KOSPI
동일고무벨트,163560,7550,+0.13,KOSPI
동일금속,109860,7520,+0.80,KOSDAQ
동일기연,032960,14430,+1.26,KOSDAQ
동일산업,004890,39350,-1.01,KOSPI
동일스틸럭스,023790,1249,+0.00,KOSDAQ
동일제강,002690,1715,-0.81,KOSPI
동진쎄미켐,005290,58900,+4.06,KOSDAQ
동화기업,025900,11860,+2.24,KOSDAQ
동화약품,000020,6000,-0.99,KOSPI
두산,000150,1705000,+6.83,KOSPI
두산2우B,000157,601000,+6.56,KOSPI
두산로보틱스,454910,107800,-2.18,KOSPI
두산밥캣,241560,74000,+2.78,KOSPI
두산에너빌리티,034020,127200,+0.08,KOSPI
두산우,000155,682000,+5.74,KOSPI
두산테스나,131970,132100,+1.07,KOSDAQ
두산퓨얼셀,336260,60600,-0.33,KOSPI
두산퓨얼셀1우,33626K,10030,+1.42,KOSPI
두산퓨얼셀2우B,33626L,11320,+0.00,KOSPI
두올,016740,4780,-8.08,KOSPI
듀오백,073190,1245,-4.23,KOSDAQ
듀켐바이오,176750,8970,-0.77,KOSDAQ
드래곤플라이,030350,973,+0.00,KOSDAQ
드림시큐리티,203650,2890,+5.47,KOSDAQ
드림씨아이에스,223250,4885,-1.31,KOSDAQ
드림어스컴퍼니,060570,1192,-3.64,KOSDAQ
드림인사이트,362990,1770,+0.28,KOSDAQ
드림텍,192650,6790,+1.19,KOSPI
디모아,016670,3885,-0.38,KOSDAQ
디바이스,187870,19320,-4.36,KOSDAQ
디비금융제13호스팩,489730,2060,+0.24,KOSDAQ
디비금융제14호스팩,0004Y0,2025,-0.25,KOSDAQ
디씨엠,024090,12420,-0.64,KOSPI
디아이,003160,33800,+1.65,KOSPI
디아이씨,092200,7460,-1.71,KOSPI
디아이티,110990,25550,+2.40,KOSDAQ
디알젬,263690,5770,+0.17,KOSDAQ
디알텍,214680,1846,-2.84,KOSDAQ
디앤디파마텍,347850,74900,+0.94,KOSDAQ
디앤디플랫폼리츠,377190,3085,-4.04,KOSPI
디앤씨미디어,263720,12120,-1.14,KOSDAQ
디어유,376300,32450,+0.62,KOSDAQ
디에스엠,104040,677,+0.00,KOSDAQ
디에스케이,109740,5840,-2.01,KOSDAQ
디에이치엑스컴퍼니,031860,693,+0.00,KOSDAQ
디에이테크놀로지,196490,203,+0.00,KOSDAQ
디에이피,066900,1713,+4.20,KOSDAQ
디엔에프,092070,23750,+0.42,KOSDAQ
디오,039840,17050,-1.22,KOSDAQ
디와이,013570,5280,+0.19,KOSPI
디와이덕양,024900,2280,-3.59,KOSPI
디와이디,219550,1797,-4.57,KOSDAQ
디와이씨,310870,1575,-2.66,KOSDAQ
디와이에이,002880,974,-2.40,KOSPI
디와이파워,210540,16300,+5.50,KOSPI
디와이피엔에프,104460,14980,-0.73,KOSDAQ
디젠스,113810,711,-1.11,KOSDAQ
디지아이,043360,2605,-1.33,KOSDAQ
디지캡,197140,2040,+0.25,KOSDAQ
디지털대성,068930,8230,-0.60,KOSDAQ
디지틀조선,033130,2720,-1.45,KOSDAQ
디케이락,105740,10750,-0.46,KOSDAQ
디케이앤디,263020,3635,-3.58,KOSDAQ
디케이티,290550,26550,+4.32,KOSDAQ
디티씨,066670,2805,-3.94,KOSDAQ
디티앤씨,187220,3230,+2.22,KOSDAQ
디티앤씨알오,383930,3560,+2.01,KOSDAQ
딜리,131180,941,+0.00,KOSDAQ
딥노이드,315640,3630,+0.83,KOSDAQ
라닉스,317120,2520,+1.82,KOSDAQ
라메디텍,462510,4810,-2.24,KOSDAQ
라온로보틱스,232680,17210,+3.43,KOSDAQ
라온시큐어,042510,13120,+4.46,KOSDAQ
라온텍,418420,7280,+9.47,KOSDAQ
라온피플,300120,1100,+8.16,KOSDAQ
라이온켐텍,171120,2550,-0.39,KOSDAQ
라이콤,388790,5470,+4.99,KOSDAQ
라파스,214260,9250,-2.63,KOSDAQ
램테크놀러지,171010,3735,+0.13,KOSDAQ
랩지노믹스,084650,1277,-3.84,KOSDAQ
러셀,217500,2865,+1.06,KOSDAQ
레드캡투어,038390,11310,-1.82,KOSDAQ
레몬,294140,3375,-0.88,KOSDAQ
레뷰코퍼레이션,443250,7610,-4.52,KOSDAQ
레이,228670,8580,-2.61,KOSDAQ
레이언스,228850,6170,-0.32,KOSDAQ
레이저쎌,412350,7660,-3.28,KOSDAQ
레이저옵텍,199550,5500,+1.29,KOSDAQ
레이크머티리얼즈,281740,22850,-0.65,KOSDAQ
레인보우로보틱스,277810,685000,+3.16,KOSDAQ
로보로보,215100,7700,-1.41,KOSDAQ
로보스타,090360,71600,-1.78,KOSDAQ
로보티즈,108490,313500,-0.95,KOSDAQ
로스웰,900260,1644,+1.48,KOSDAQ
로젠,033290,1998,-1.09,KOSDAQ
로지시스,067730,3230,-1.07,KOSDAQ
로체시스템즈,071280,9450,-0.11,KOSDAQ
로킷헬스케어,376900,71500,-6.54,KOSDAQ
롤링스톤,214610,2290,+0.00,KOSDAQ
롯데관광개발,032350,20850,+0.72,KOSPI
롯데렌탈,089860,33000,-1.93,KOSPI
롯데리츠,330590,4270,-3.83,KOSPI
롯데손해보험,000400,2195,+3.78,KOSPI
롯데쇼핑,023530,138500,+2.37,KOSPI
롯데에너지머티리얼즈,020150,78500,+17.69,KOSPI
롯데웰푸드,280360,121200,+0.08,KOSPI
롯데이노베이트,286940,22900,-0.87,KOSPI
롯데정밀화학,004000,66600,-4.03,KOSPI
롯데지주,004990,30050,-1.64,KOSPI
롯데지주우,00499K,29800,+0.51,KOSPI
롯데칠성,005300,126400,+3.27,KOSPI
롯데칠성우,005305,81900,+1.99,KOSPI
롯데케미칼,011170,106200,-6.76,KOSPI
롯데하이마트,071840,7890,-1.50,KOSPI
루닛,328130,20800,+0.24,KOSDAQ
루멘스,038060,1220,+3.39,KOSDAQ
루미르,474170,16270,+0.37,KOSDAQ
리가켐바이오,141080,181500,-1.04,KOSDAQ
리노공업,058470,120800,+1.26,KOSDAQ
리더스코스메틱,016100,1845,-0.27,KOSDAQ
리드코프,012700,3685,-3.28,KOSDAQ
리메드,302550,3090,+0.16,KOSDAQ
리브스메드,491000,69800,-1.97,KOSDAQ
리센스메디컬,394420,31250,-2.34,KOSDAQ
리튬포어스,073570,821,+0.00,KOSDAQ
리파인,377450,12560,-1.10,KOSDAQ
린드먼아시아,277070,4255,-0.58,KOSDAQ
링네트,042500,5930,-1.33,KOSDAQ
링크드,193250,396,+0.00,KOSDAQ
링크솔루션,474650,59400,+0.00,KOSDAQ
링크제니시스,219420,5110,+0.59,KOSDAQ
마녀공장,439090,15780,-1.00,KOSDAQ
마니커,027740,821,+0.00,KOSPI
마니커에프앤지,195500,2835,-1.39,KOSDAQ
마스턴프리미어리츠,357430,1225,-1.61,KOSPI
마음AI,377480,15780,-0.44,KOSDAQ
마이크로디지탈,305090,6130,-0.97,KOSDAQ
마이크로컨텍솔,098120,35950,-3.88,KOSDAQ
마이크로투나노,424980,14200,+3.95,KOSDAQ
마크로젠,038290,16220,+0.00,KOSDAQ
만호제강,001080,5160,-2.64,KOSPI
매일유업,267980,36400,+0.28,KOSDAQ
매일홀딩스,005990,11340,+1.80,KOSDAQ
매커스,093520,26500,+0.38,KOSDAQ
맥쿼리인프라,088980,11300,-0.44,KOSPI
맵스리얼티,094800,7000,-6.54,KOSPI
머큐리,100590,7410,+19.52,KOSDAQ
멀티캠퍼스,067280,27700,-5.78,KOSDAQ
메가스터디,072870,13220,-2.22,KOSDAQ
메가스터디교육,215200,46800,-1.27,KOSDAQ
메가엠디,133750,1864,-0.43,KOSDAQ
메가터치,446540,7390,+3.50,KOSDAQ
메드팩토,235980,5250,+2.54,KOSDAQ
메디아나,041920,20950,-0.24,KOSDAQ
메디앙스,014100,1800,+1.81,KOSDAQ
메디콕스,054180,2295,+0.00,KOSDAQ
메디톡스,086900,105500,+0.00,KOSDAQ
메디포스트,078160,25450,-8.78,KOSDAQ
메리츠금융지주,138040,113400,+1.52,KOSPI
메리츠제1호스팩,0088D0,2180,+0.69,KOSDAQ
메쎄이상,408920,3565,-1.66,KOSDAQ
메이슨캐피탈,021880,181,-6.22,KOSDAQ
메쥬,0088M0,39000,-8.56,KOSDAQ
메지온,140410,91200,+3.99,KOSDAQ
메카로,241770,36850,+0.96,KOSDAQ
메타랩스,090370,1457,-0.27,KOSPI
메타바이오메드,059210,4385,-0.79,KOSDAQ
메타케어,118000,208,+0.00,KOSPI
멕아이씨에스,058110,2730,-1.80,KOSDAQ
멤레이비티,072770,707,+0.00,KOSDAQ
명문제약,017180,1776,-0.67,KOSPI
명신산업,009900,13280,-0.15,KOSPI
명인제약,317450,56000,+0.36,KOSPI
모나리자,012690,2395,+1.27,KOSPI
모나미,005360,1705,-1.33,KOSPI
모나용평,070960,3120,+0.00,KOSPI
모니터랩,434480,4235,+1.32,KOSDAQ
모다이노칩,080420,2010,+0.00,KOSDAQ
모델솔루션,417970,18850,+1.56,KOSDAQ
모두투어,080160,11410,+0.18,KOSDAQ
모바일어플라이언스,087260,2340,+3.77,KOSDAQ
모베이스,101330,4730,-0.32,KOSDAQ
모베이스전자,012860,3920,+2.62,KOSDAQ
모비데이즈,363260,1505,+1.01,KOSDAQ
모비릭스,348030,2370,-4.44,KOSDAQ
모비스,250060,4820,+4.44,KOSDAQ
모아데이타,288980,1210,-11.42,KOSDAQ
모아라이프플러스,142760,793,-7.68,KOSDAQ
모아텍,033200,3965,+0.38,KOSDAQ
모토닉,009680,10970,-0.45,KOSPI
모트렉스,118990,9200,+1.88,KOSDAQ
모티브링크,463480,9100,+4.36,KOSDAQ
모헨즈,006920,5030,+2.34,KOSDAQ
무림P&P,009580,2995,-1.16,KOSPI
무림SP,001810,1686,-0.77,KOSDAQ
무림페이퍼,009200,2030,-0.73,KOSPI
무학,033920,8830,-0.79,KOSPI
문배철강,008420,2985,+2.93,KOSPI
미디어젠,279600,5760,-1.20,KOSDAQ
미래나노텍,095500,10670,+2.40,KOSDAQ
미래반도체,254490,29250,+25.27,KOSDAQ
미래산업,025560,16000,+3.56,KOSPI
미래생명자원,218150,3255,-0.91,KOSDAQ
미래아이앤지,007120,1873,-3.25,KOSPI
미래에셋글로벌리츠,396690,2035,-7.08,KOSPI
미래에셋맵스리츠,357250,2290,-4.18,KOSPI
미래에셋벤처투자,100790,52600,+0.38,KOSDAQ
미래에셋비전스팩10호,0097F0,1998,+0.00,KOSDAQ
미래에셋비전스팩11호,0099W0,2000,-0.25,KOSDAQ
미래에셋비전스팩4호,477380,2060,+0.00,KOSDAQ
미래에셋비전스팩5호,477470,2110,-0.24,KOSDAQ
미래에셋비전스팩6호,478440,2040,+0.25,KOSDAQ
미래에셋비전스팩7호,482680,2030,+0.00,KOSDAQ
미래에셋비전스팩8호,0093G0,1997,-0.05,KOSDAQ
미래에셋비전스팩9호,0096D0,1999,-0.05,KOSDAQ
미래에셋생명,085620,16440,+3.20,KOSPI
미래에셋증권,006800,70300,+8.49,KOSPI
미래에셋증권2우B,00680K,20550,+5.33,KOSPI
미래에셋증권우,006805,22550,+6.62,KOSPI
미래컴퍼니,049950,16320,+0.74,KOSDAQ
미스터블루,207760,1003,-2.15,KOSDAQ
미스토홀딩스,081660,40350,-0.62,KOSPI
미원상사,002840,151900,+0.07,KOSPI
미원에스씨,268280,120300,-1.80,KOSPI
미원홀딩스,107590,62500,-1.26,KOSPI
미원화학,134380,12890,+0.55,KOSPI
미창석유,003650,121800,-2.64,KOSPI
미코,059090,26100,+15.23,KOSDAQ
미투온,201490,3185,+0.47,KOSDAQ
미트박스,475460,8270,-0.84,KOSDAQ
민테크,452200,2870,+3.80,KOSDAQ
바디텍메드,206640,11550,-1.20,KOSDAQ
바른손,018700,561,+0.00,KOSDAQ
바른손이앤에이,035620,243,+0.00,KOSDAQ
바이넥스,053030,10990,-0.27,KOSDAQ
바이브컴퍼니,301300,2710,-2.17,KOSDAQ
바이오노트,377740,5050,-1.17,KOSPI
바이오니아,064550,10230,-2.94,KOSDAQ
바이오다인,314930,11500,-1.37,KOSDAQ
바이오비쥬,489460,8300,-0.84,KOSDAQ
바이오솔루션,086820,11410,-4.84,KOSDAQ
바이오스마트,038460,4545,+2.13,KOSDAQ
바이오에프디엔씨,251120,13810,-3.49,KOSDAQ
바이오인프라,199730,4145,-0.84,KOSDAQ
바이오톡스텍,086040,3300,-0.75,KOSDAQ
바이오포트,188040,6280,-3.38,KOSDAQ
바이오플러스,099430,5870,+1.56,KOSDAQ
바이온,032980,604,+0.00,KOSDAQ
바이젠셀,308080,10330,-5.14,KOSDAQ
바텍,043150,23300,+1.30,KOSDAQ
박셀바이오,323990,7240,-3.21,KOSDAQ
방림,003610,5840,+2.10,KOSPI
배럴,267790,3495,-0.71,KOSDAQ
백금T&A,046310,3200,-2.14,KOSDAQ
백산,035150,12270,-1.05,KOSPI
밸로프,331520,2615,+0.00,KOSDAQ
뱅크웨어글로벌,199480,5040,-1.18,KOSDAQ
버넥트,438700,3345,-0.45,KOSDAQ
버킷스튜디오,066410,1153,+0.00,KOSDAQ
범양건영,002410,1935,+0.00,KOSPI
범한퓨얼셀,382900,35900,+1.84,KOSDAQ
베노티앤알,206400,1298,+0.78,KOSDAQ
베뉴지,019010,4915,+0.41,KOSDAQ
베셀,177350,1038,-0.10,KOSDAQ
벡트,457600,2180,-3.54,KOSDAQ
벨로크,424760,1887,+0.00,KOSDAQ
벽산,007210,2180,-0.91,KOSPI
보라티알,250000,7730,-0.26,KOSDAQ
보락,002760,1127,-1.74,KOSPI
보령,003850,10010,+0.70,KOSPI
보로노이,310210,292000,+2.82,KOSDAQ
보성파워텍,006910,14350,+18.79,KOSDAQ
보원케미칼,0010F0,5970,-0.67,KOSDAQ
보해양조,000890,422,+0.00,KOSPI
본느,226340,647,+0.00,KOSDAQ
부광약품,003000,6290,-0.47,KOSPI
부국증권,001270,76400,+4.66,KOSPI
부국증권우,001275,36400,+0.55,KOSPI
부국철강,026940,2910,+0.34,KOSPI
부방,014470,1454,-0.14,KOSDAQ
부산산업,011390,76800,+3.64,KOSPI
부산주공,005030,486,+0.00,KOSPI
부스타,008470,3880,+0.26,KOSDAQ
뷰노,338220,17250,-9.02,KOSDAQ
뷰웍스,100120,27400,+0.92,KOSDAQ
뷰티스킨,406820,3145,+4.66,KOSDAQ
브레인즈컴퍼니,099390,4560,-3.18,KOSDAQ
브리지텍,064480,4290,-1.15,KOSDAQ
브이씨,365900,3120,-0.16,KOSDAQ
브이엠,089970,55900,+4.68,KOSDAQ
브이원텍,251630,6240,+0.32,KOSDAQ
브이티,018290,16730,-1.36,KOSDAQ
블랙야크아이앤씨,478560,3490,-3.06,KOSDAQ
블루산업개발,006740,589,-3.44,KOSPI
블루엠텍,439580,3260,-1.81,KOSDAQ
블루콤,033560,3405,-2.58,KOSDAQ
블리츠웨이엔터테인먼트,369370,1162,-0.68,KOSDAQ
비나텍,126340,184700,+5.18,KOSDAQ
비덴트,121800,3320,+0.00,KOSDAQ
비보존 제약,082800,3190,-1.24,KOSDAQ
비비씨,318410,7550,+0.67,KOSDAQ
비비안,002070,355,+0.00,KOSPI
비상교육,100220,7400,+5.26,KOSPI
비스토스,419540,877,+0.00,KOSDAQ
비씨엔씨,146320,18150,+1.68,KOSDAQ
비씨월드제약,200780,4410,-0.79,KOSDAQ
비아이매트릭스,413640,8670,-0.34,KOSDAQ
비아트론,141000,11910,+2.76,KOSDAQ
비에이치,090460,31950,-7.39,KOSPI
비에이치아이,083650,99200,+1.74,KOSDAQ
비엔케이제3호스팩,0068Y0,2000,+0.00,KOSDAQ
비엘팜텍,065170,2290,-4.58,KOSDAQ
비엠티,086670,17800,+0.06,KOSDAQ
비유테크놀러지,230980,229,+0.00,KOSDAQ
비츠로넥스텍,488900,19410,+3.96,KOSDAQ
비츠로셀,082920,57500,+0.88,KOSDAQ
비츠로시스,054220,548,+0.00,KOSDAQ
비츠로테크,042370,18280,+7.85,KOSDAQ
비케이홀딩스,050090,773,-2.64,KOSDAQ
비큐AI,148780,1241,-3.42,KOSDAQ
비투엔,307870,1140,-1.47,KOSDAQ
비트맥스,377030,2905,-15.31,KOSDAQ
비트컴퓨터,032850,5430,-1.09,KOSDAQ
비트플래닛,049470,672,+0.00,KOSDAQ
비피도,238200,2835,-0.18,KOSDAQ
빅솔론,093190,8080,-3.46,KOSDAQ
빅텍,065450,5770,-0.52,KOSDAQ
빌리언스,044480,445,+0.00,KOSDAQ
빙그레,005180,74400,-0.80,KOSPI
빛과전자,069540,5210,+2.56,KOSDAQ
빛샘전자,072950,12970,+7.10,KOSDAQ
삐아,451250,8820,-0.68,KOSDAQ
사람인,143240,16880,-1.17,KOSDAQ
사이냅소프트,466410,11720,-0.85,KOSDAQ
사조대림,003960,32250,-1.53,KOSPI
사조동아원,008040,1043,+0.10,KOSPI
사조산업,007160,52900,-0.38,KOSPI
사조씨푸드,014710,8070,-0.62,KOSPI
사조오양,006090,8420,-0.12,KOSPI
사토시홀딩스,223310,2275,+0.00,KOSDAQ
사피엔반도체,452430,43800,+3.06,KOSDAQ
산돌,419120,4005,-0.87,KOSDAQ
산일전기,062040,333500,+25.38,KOSPI
삼기,122350,1508,+0.13,KOSDAQ
삼기에너지솔루션즈,419050,1889,-0.05,KOSDAQ
삼륭물산,014970,7190,-0.96,KOSDAQ
삼립,005610,49500,-0.40,KOSPI
삼목에스폼,018310,18920,+0.42,KOSDAQ
삼미금속,012210,15450,+15.82,KOSDAQ
삼보모터스,053700,5850,-2.82,KOSDAQ
삼보산업,009620,996,+4.40,KOSDAQ
삼보판지,023600,10040,-0.50,KOSDAQ
삼부토건,001470,347,+0.00,KOSPI
삼성E&A,028050,55000,+3.58,KOSPI
삼성FN리츠,448730,5770,-7.09,KOSPI
삼성SDI,006400,705000,+1.44,KOSPI
삼성SDI우,006405,355500,+0.42,KOSPI
삼성공조,006660,13130,+0.31,KOSPI
삼성물산,028260,320000,+7.20,KOSPI
삼성물산우B,02826K,195100,+2.52,KOSPI
삼성바이오로직스,207940,1485000,+1.02,KOSPI
삼성생명,032830,265000,+6.21,KOSPI
삼성스팩10호,0044K0,2035,-0.25,KOSDAQ
삼성스팩11호,0071M0,2010,-0.25,KOSDAQ
삼성스팩12호,0096B0,2005,+0.00,KOSDAQ
삼성스팩13호,0115H0,2015,+0.00,KOSDAQ
삼성에스디에스,018260,166900,+0.42,KOSPI
삼성에피스홀딩스,0126Z0,529000,-2.58,KOSPI
삼성전기,009150,918000,+10.34,KOSPI
삼성전기우,009155,376000,+8.05,KOSPI
삼성전자,005930,232500,+5.44,KOSPI
삼성전자우,005935,169600,+7.14,KOSPI
삼성제약,001360,1992,-1.87,KOSPI
삼성중공업,010140,32250,-0.31,KOSPI
삼성증권,016360,137900,+28.28,KOSPI
삼성출판사,068290,8890,-2.63,KOSPI
삼성카드,029780,52500,-1.50,KOSPI
삼성화재,000810,473500,+2.71,KOSPI
삼성화재우,000815,373000,+0.13,KOSPI
삼아알미늄,006110,66800,-2.91,KOSPI
삼아제약,009300,16580,-0.12,KOSDAQ
삼양바이오팜,0120G0,73600,-2.90,KOSPI
삼양사,145990,47700,-1.04,KOSPI
삼양사우,145995,33650,-0.88,KOSPI
삼양식품,003230,1316000,-1.86,KOSPI
삼양엔씨켐,482630,19720,+2.07,KOSDAQ
삼양컴텍,484590,12930,-0.84,KOSDAQ
삼양케이씨아이,036670,6100,-2.24,KOSDAQ
삼양패키징,272550,11610,-1.19,KOSPI
삼양홀딩스,000070,68200,-2.29,KOSPI
삼영,003720,12500,+10.72,KOSPI
삼영무역,002810,20750,+2.22,KOSPI
삼영에스앤씨,361670,3325,-3.34,KOSDAQ
삼영엠텍,054540,13320,-0.82,KOSDAQ
삼영이엔씨,065570,764,+0.00,KOSDAQ
삼영전자,005680,15750,+2.54,KOSPI
삼원강재,023000,2400,-1.64,KOSPI
삼익THK,004380,11870,+0.17,KOSPI
삼익악기,002450,1234,-1.28,KOSPI
삼익제약,014950,9540,-1.45,KOSDAQ
삼일,032280,1399,+0.07,KOSDAQ
삼일기업공사,002290,4160,-3.03,KOSDAQ
삼일씨엔에스,004440,7660,-6.81,KOSPI
삼일제약,000520,9180,+3.26,KOSPI
삼정펄프,009770,31000,-0.32,KOSPI
삼지전자,037460,34250,+4.74,KOSDAQ
삼진,032750,3590,-0.42,KOSDAQ
삼진식품,0013V0,7360,+0.14,KOSDAQ
삼진엘앤디,054090,1118,-1.76,KOSDAQ
삼진제약,005500,18640,-0.37,KOSPI
삼천당제약,000250,409500,-1.44,KOSDAQ
삼천리,004690,148500,+0.61,KOSPI
삼천리자전거,024950,5120,+0.20,KOSDAQ
삼표시멘트,038500,16290,-3.78,KOSDAQ
삼현,437730,53500,+0.00,KOSDAQ
삼현철강,017480,5020,+0.80,KOSDAQ
삼호개발,010960,3945,-1.25,KOSPI
삼화네트웍스,046390,991,+0.00,KOSDAQ
삼화왕관,004450,28850,-0.69,KOSPI
삼화전기,009470,48600,+0.21,KOSPI
삼화전자,011230,2450,-2.58,KOSPI
삼화콘덴서,001820,68400,+1.79,KOSPI
상보,027580,598,+0.00,KOSDAQ
상상인,038540,2230,+0.00,KOSDAQ
상상인증권,001290,1336,+2.38,KOSPI
상신브레이크,041650,2775,-0.89,KOSPI
상신이디피,091580,27100,+1.88,KOSDAQ
상신전자,263810,3115,-2.50,KOSDAQ
상아프론테크,089980,28050,+2.19,KOSDAQ
상지건설,042940,10360,-1.61,KOSDAQ
새로닉스,042600,21600,+6.93,KOSDAQ
새론오토모티브,075180,3015,-0.82,KOSPI
새빗켐,107600,31500,+2.61,KOSDAQ
샌즈랩,411080,8240,+0.12,KOSDAQ
샘씨엔에스,252990,14130,-0.91,KOSDAQ
샘표,007540,51100,-1.35,KOSPI
샘표식품,248170,27200,-0.18,KOSPI
샤페론,378800,1877,+0.05,KOSDAQ
서남,294630,4670,+2.64,KOSDAQ
서린바이오,038070,6310,-0.47,KOSDAQ
서부T&D,006730,14960,-0.07,KOSDAQ
서산,079650,1285,-1.15,KOSDAQ
서암기계공업,100660,4520,-0.55,KOSDAQ
서연,007860,9480,+0.21,KOSPI
서연이화,200880,14310,+1.42,KOSPI
서연탑메탈,019770,4205,+1.20,KOSDAQ
서울가스,017390,64300,-1.68,KOSPI
서울바이오시스,092190,11230,+29.98,KOSDAQ
서울반도체,046890,17930,+8.60,KOSDAQ
